univerzita;dotacie;mzdy;dotacie-dokt;dotacie-stud;zamestnanci;int-dokt;dokt-abs;studenti;studenti-denni;pub-podiel-07711;pub-podiel-07712;absolventi;ubyt-kap-sd;ubyt-studenti-sd;prispevok-sd
UK;90332246;27611369;1445398;9642533;NA;1443;NA;27593;20456;24,28317092;26,73440924;NA;10940;10076;803696
UPJŠ;27971778;8345810;572237;2423664;NA;389;NA;8213;6028;7,298099339;8,285886086;NA;1826;1617;124896
PU;20452179;6505160;235793;3810466;NA;171;NA;9817;7028;5,518930483;4,229708044;NA;1943;2027;162160
UCM;9260692;3414439;4863;1163974;NA;77;NA;6397;4534;2,586973912;2,193657358;NA;224;211;6752
UVL;11527039;4445291;178121;867559;NA;122;NA;2344;2037;2,194468133;2,19750817;NA;903;773;61840
UKF;19494160;7080788;113073;2259209;NA;205;NA;10811;7270;4,986715527;4,301412828;NA;1701;1700;136000
UMB;19453502;6375887;29180;2741873;NA;219;NA;10417;6978;4,788130484;3,996822416;NA;2434;2310;162960
TVU;9900927;3556003;14590;845093;NA;90;NA;6152;3973;3,106824056;2,311560825;NA;0;0;0
STU;56970638;16774399;508829;6443076;NA;791;NA;16399;13919;11,89565331;13,92394026;NA;6542;6536;519904
TUKE;38829443;11933257;339401;5563474;NA;420;NA;11694;9278;10,81533835;11,35425328;NA;4992;4307;344560
ŽU;30935455;9144109;12158;4586363;NA;293;NA;10434,5;8654,5;4,388672248;4,755332877;NA;5026;4458;356640
TUAD;6590406;2349776;14590;623867;NA;55;NA;3480;2332;1,390139304;1,389789195;NA;215;154;12320
EU;19299757;6773204;10335;2657475;NA;179;NA;10139;7805;4,387220153;3,693615198;NA;3017;2916;209376
SPU;21341628;7027528;111249;2684009;NA;188;NA;9024;6632;4,536125933;4,189883119;NA;3242;2855;209728
TUZVO;10989141;3590378;0;1546907;NA;97;NA;4211;2933;3,234608449;3,070015959;NA;1524;1385;110800
VŠMU;5434966;2274352;4863;158756;NA;60;NA;1068;1019;0,122680058;0,064534305;NA;0;0;0
VŠVU;4326912;1448395;16414;94711;NA;37;NA;651;553;0,217286271;0,037678208;NA;0;0;0
AU;3534568;1351373;0;179555;NA;29;NA;582;495;0,18666026;0,075522399;NA;136;110;7040
KU;11715957;3810392;4863;1996213;NA;137;NA;6773;4160;3,076418059;2,483430994;NA;678;527;29616
UJS;3228115;1208384;3648;488182;NA;19;NA;1911;1436;0,985884753;0,711039239;NA;513;428;34240
