univerzita,dotacie,mzdy,dotacie-dokt,dotacie-stud,zamestnanci,int-dokt,dokt-abs,studenti,studenti-denni,publikacie,absolventi,ubyt-kap-sd,ubyt-studenti-sd,prispevok-sd,rok,publik‡cie,publikacie 07711,publikacie 07712,pub-podiel-07711,pub-podiel-07712
UVL,13557866.0,5937554,,737398,,72,,2035.0,1818.0,,,825.0,665.0,53200.0,2018,,,,1.782804223,2.06748583
UKF,22284730.0,8015627,,2329050,,195,,8289.0,6033.0,,,1643.0,1643.0,131440.0,2018,,,,4.720541444,4.068592073
UMB,20943535.0,7240408,,2434150,,149,,7985.5,5566.5,,,2439.0,2290.0,175328.0,2018,,,,4.520263185,3.640290727
TVU,11684633.0,4364870,,834196,,63,,4944.0,3253.0,,,316.0,294.0,9408.0,2018,,,,3.235994673,2.237408226
STU,59950735.0,18959089,,6374063,,538,,13228.0,11053.0,,,6278.0,6272.0,498784.0,2018,,,,11.06740343,12.53440113
TUKE,40293713.0,13617218,,4541499,,324,,9052.0,7667.0,,,4986.0,4069.0,325520.0,2018,,,,10.81483981,11.12516498
ŽU,33430198.0,10899800,,3721181,,290,,9032.0,7384.0,,,5032.0,3777.0,256800.0,2018,,,,5.07387728,6.124376607
TUAD,6117997.0,2221606,,379151,,15,,2376.0,1510.0,,,215.0,122.0,9760.0,2018,,,,1.330371986,1.228821656
EU,20230665.0,7301362,,2422592,,114,,7944.0,6357.0,,,2895.0,2528.0,166288.0,2018,,,,3.934771404,3.05114583
SPU,23609962.0,8504468,,2439651,,119,,7582.0,5720.0,,,2688.0,2557.0,191552.0,2018,,,,4.463248306,4.315041166
TUZVO,12056653.0,3975459,,1040596,,88,,3033.0,2137.0,,,1434.0,1078.0,86240.0,2018,,,,3.310735928,3.420075236
VŠMU,8204570.0,3326020,,185839,,34,,1030.0,885.0,,,0.0,0.0,0.0,2018,,,,0.275205715,0.073496077
VŠVU,4955364.0,1968766,,103989,,29,,662.0,588.0,,,0.0,0.0,0.0,2018,,,,0.188435848,0.028790571
AU,4171545.0,1848007,,166105,,28,,553.0,501.0,,,136.0,108.0,6912.0,2018,,,,0.19904933,0.032720167
KU,10368261.0,3905252,,1097957,,90,,4177.0,2666.0,,,642.0,466.0,19232.0,2018,,,,2.252478713,1.568096062
UJS,3944228.0,1519602,,548190,,23,,1741.0,1250.0,,,413.0,362.0,28960.0,2018,,,,1.2906366,1.09927852
UK,102389909.0,33270007,,9783679,,985,,23545.0,16860.0,,,10852.0,9683.0,728848.0,2019,,,,23.38343162,25.77644686
UPJŠ,34257245.0,11115051,,2146378,,342,,7382.0,4995.0,,,1796.0,1705.0,131008.0,2019,,,,11.85769713,14.08244217
PU,22687476.0,8552406,,2997073,,128,,8689.0,6579.0,,,1925.0,1963.0,157040.0,2019,,,,4.404671176,3.154602935
UCM,11786096.0,4975094,,830121,,99,,5738.0,3966.0,,,237.0,197.0,6304.0,2019,,,,2.201883774,2.151540096
UVL,13302683.0,5845687,,674116,,79,,1895.0,1704.0,,,825.0,637.0,40768.0,2019,,,,1.887706498,1.87817367
UKF,21631622.0,7718201,,2046025,,182,,7679.0,5598.0,,,1643.0,1628.0,130240.0,2019,,,,4.139551413,3.544531873
UMB,20286573.0,7099148,,2188669,,127,,7097.0,5086.0,,,2588.0,2264.0,92224.0,2019,,,,4.34180963,3.569555388
TVU,11431705.0,4289872,,724580,,54,,4672.0,3060.0,,,316.0,296.0,9472.0,2019,,,,2.898146552,2.356919984
STU,59095995.0,18579883,,5899552,,490,,11879.0,9813.0,,,6629.0,6378.0,508768.0,2019,,,,11.76807504,12.03561187
TUKE,41007370.0,13628376,,4561757,,306,,8804.0,7497.0,,,4986.0,4270.0,341600.0,2019,,,,10.86746252,11.6296199
ŽU,34552339.0,10994390,,3726079,,265,,8307.0,7042.0,,,5032.0,3845.0,259120.0,2019,,,,5.537708462,5.45166736
TUAD,8985706.0,2130946,,369063,,29,,2062.0,1374.0,,,215.0,104.0,8320.0,2019,,,,1.099068403,1.002777213
EU,19476848.0,7151743,,2210960,,96,,7376.0,6110.0,,,2811.0,2456.0,172560.0,2019,,,,3.211174661,2.184366906
SPU,22952869.0,8334499,,2239295,,121,,6820.0,5224.0,,,2603.0,2409.0,179664.0,2019,,,,4.207260675,4.056721004
TUZVO,13131864.0,4312470,,1090372,,79,,2680.0,1912.0,,,1434.0,998.0,79840.0,2019,,,,4.985056123,4.756212812
VŠMU,8261537.0,3366153,,114409,,38,,1038.0,866.0,,,0.0,0.0,0.0,2019,,,,0.100599857,0.030693184
VŠVU,4917691.0,2075631,,77000,,27,,655.0,588.0,,,0.0,0.0,0.0,2019,,,,0.168585627,0.029081118
AU,4355457.0,1939438,,149566,,30,,564.0,504.0,,,136.0,108.0,6912.0,2019,,,,0.116859196,0.01845501
KU,9598736.0,3606449,,955393,,65,,3692.0,2440.0,,,647.0,472.0,18752.0,2019,,,,1.756359769,1.331955221
UJS,3935646.0,1571035,,434211,,26,,1732.0,1234.0,,,413.0,374.0,29920.0,2019,,,,1.066891889,0.958625428
