univerzita,dotacie,mzdy,dotacie-dokt,dotacie-stud,zamestnanci,int-dokt,dokt-abs,studenti,studenti-denni,publikacie,absolventi,ubyt-kap-sd,ubyt-studenti-sd,prispevok-sd,rok,publik‡cie,publikacie 07711,publikacie 07712,pub-podiel-07711,pub-podiel-07712
UK,77188587.0,22358025,7729715.0,8006375,,1559,,27422.0,21919.0,,12369.0,10861.0,9675.0,800848.0,2011,,2071006511.0,2603523973.0,,
UPJŠ,22757216.0,6656435,1766983.0,2466042,,314,,8699.0,7408.0,,3605.0,1806.0,1657.0,126960.0,2011,,6193284877.0,9048936692.0,,
PU,18316144.0,5397622,1216551.0,3960319,,205,,10571.0,7048.0,,5049.0,1921.0,1928.0,154240.0,2011,,5585440686.0,4102463764.0,,
UCM,7613364.0,2881112,462610.0,945202,,77,,5947.0,4650.0,,2806.0,224.0,209.0,13952.0,2011,,1718813843.0,140006506.0,,
UVL,9159398.0,2974668,587893.0,647983,,117,,1873.0,1689.0,,270.0,908.0,751.0,26048.0,2011,,2104777914.0,2374904879.0,,
UKF,19265704.0,6462251,1484369.0,2405707,,242,,12354.0,8268.0,,5559.0,1552.0,1433.0,124080.0,2011,,6568321108.0,5329845478.0,,
UMB,18590413.0,6109460,1265427.0,2751876,,252,,12349.0,7816.0,,5942.0,2434.0,2225.0,164480.0,2011,,6791872168.0,5306779875.0,,
TVU,10243014.0,3368177,996745.0,950338,,188,,7516.0,4574.0,,3046.0,,,0.0,2011,,3347500217.0,2344218088.0,,
STU,56943985.0,17138021,6263282.0,4696983,,1190,,18189.0,17118.0,,9343.0,6724.0,6552.0,533360.0,2011,,1345585287.0,1773156863.0,,
TUKE,38957862.0,11880335,3100463.0,6536820,,554,,16319.0,12919.0,,7481.0,4984.0,5786.0,414400.0,2011,,6646405482.0,588805886.0,,
ŽU,27056909.0,8217291,2329877.0,3796173,,392,,11715.0,9217.0,,5519.0,5044.0,4390.0,354448.0,2011,,4423408603.0,3152518231.0,,
TUAD,7677563.0,2740431,499722.0,779454,,85,,5743.0,3259.0,,2927.0,320.0,158.0,10048.0,2011,,1904237002.0,190444848.0,,
EU,20861429.0,7068976,1490373.0,3088214,,257,,12759.0,10065.0,,7727.0,3530.0,3152.0,240288.0,2011,,6079434099.0,4143506178.0,,
SPU,19237006.0,6282008,1586472.0,2352864,,258,,9964.0,7079.0,,4726.0,3028.0,2484.0,164768.0,2011,,454471156.0,3657568768.0,,
TUZVO,11148942.0,3521695,867809.0,1407840,,153,,5235.0,3506.0,,2002.0,1524.0,1460.0,88048.0,2011,,3314396725.0,2486366902.0,,
VŠVU,5599140.0,2001169,387340.0,201493,,61,,1052.0,997.0,,613.0,,,0.0,2011,,297907331.0,224502459.0,,
VŠMU,4160394.0,1319084,277566.0,145736,,57,,687.0,660.0,,386.0,,,0.0,2011,,387686295.0,109265027.0,,
AU,3210870.0,1147907,191927.0,328497,,30,,629.0,590.0,,362.0,136.0,100.0,6400.0,2011,,368174309.0,219402946.0,,
KU,11854293.0,3753909,935589.0,1685056,,166,,7353.0,3991.0,,4482.0,631.0,469.0,28992.0,2011,,486383266.0,395089986.0,,
UJS,2708416.0,916859,59503.0,591838,,9,,2403.0,1561.0,,867.0,513.0,467.0,37440.0,2011,,693877137.0,589440097.0,,
UK,59596766.0,22666782,7239708.0,8844243,156.0,1559,,27422.0,20360.0,,20606.0,10861.0,10099.0,800848.0,2012,,2059.0,2556.0,,
UPJŠ,18046181.0,6998049,1884564.0,2850229,50.0,314,,8699.0,7094.0,,5066.0,1806.0,1785.0,126960.0,2012,,693.0,1011.0,,
PU,13062238.0,5839476,1222676.0,4470705,28.0,205,,10571.0,6843.0,,7006.0,1921.0,1954.0,154240.0,2012,,588.0,455.0,,
UCM,6701348.0,3098222,458464.0,1001229,0.0,77,,5912.0,4538.0,,3444.0,224.0,218.0,13952.0,2012,,215.0,197.0,,
UVL,6715515.0,3041069,537528.0,808434,26.0,117,,1873.0,1572.0,,1457.0,908.0,814.0,26048.0,2012,,186.0,221.0,,
UKF,15671333.0,6949623,1448312.0,2670702,55.0,242,,12388.0,8060.0,,7709.0,1552.0,1551.0,124080.0,2012,,685.0,533.0,,
UMB,15692816.0,6639663,1274616.0,3050082,0.0,252,,12349.0,7564.0,,7863.0,2434.0,2328.0,164480.0,2012,,749.0,575.0,,
TVU,8195021.0,3601492,851032.0,1128740,8.0,188,,7516.0,4386.0,,3772.0,,,0.0,2012,,396.0,265.0,,
STU,46202540.0,17067566,5882256.0,5183162,1.0,1190,,18226.0,15961.0,,16279.0,6724.0,6715.0,533360.0,2012,,1139.0,1463.0,,
TUKE,29350910.0,12177176,2838188.0,6752009,2.0,554,,16319.0,12365.0,,12088.0,4984.0,5843.0,414400.0,2012,,727.0,693.0,,
ŽU,20430837.0,8275189,2102972.0,4136075,12.0,392,,11715.0,8879.0,,8487.0,5044.0,4499.0,354448.0,2012,,393.0,316.0,,
TUAD,5997982.0,2843776,500044.0,789084,0.0,84,,5707.0,3142.0,,4263.0,320.0,158.0,10048.0,2012,,125.0,127.0,,
EU,16989556.0,7489611,1315260.0,3112157,56.0,257,,12759.0,9808.0,,8160.0,3530.0,3308.0,240288.0,2012,,604.0,414.0,,
SPU,15435365.0,6544134,1399328.0,2412016,10.0,258,,9964.0,6821.0,,7448.0,3028.0,2536.0,164768.0,2012,,455.0,411.0,,
TUZVO,8525810.0,3681714,755260.0,1498175,280.0,153,,5235.0,3353.0,,3216.0,1524.0,1484.0,88048.0,2012,,312.0,261.0,,
VŠMU,4922607.0,2043530,410944.0,242425,0.0,61,,1052.0,936.0,,2159.0,,,0.0,2012,,23.0,11.0,,
VŠVU,3692731.0,1398953,289012.0,133417,0.0,57,,687.0,603.0,,1283.0,,,0.0,2012,,47.0,12.0,,
