univerzita,dotacie,mzdy,dotacie-dokt,dotacie-stud,zamestnanci,int-dokt,dokt-abs,studenti,studenti-denni,publikacie,absolventi,ubyt-kap-sd,ubyt-studenti-sd,prispevok-sd
UK,59596765.66,22666782,7239708,8844243,156,1559,NA,27422,20360,35286,20605.80957,10861,10099,800848
UJPŠ,18046181.24,6998049,1884564,2850229,50,314,NA,8699,7094,10896,5066.212697,1806,1785,126960
PU,13062238.4,5839476,1222676,4470705,28,205,NA,10571,6843,11850,7005.598758,1921,1954,154240
UCM,6701348.144,3098222,458464,1001229,0,77,NA,5912,4538,3575,3444.177376,224,218,13952
UVL,6715514.688,3041069,537528,808434,26,117,NA,1873,1572,3893,1457.499336,908,814,26048
UKF,15671333.41,6949623,1448312,2670702,55,242,NA,12388,8060,12371,7709.286261,1552,1551,124080
UMB,15692815.57,6639663,1274616,3050082,0,252,NA,12349,7564,12671,7862.657093,2434,2328,164480
TVU,8195020.712,3601492,851032,1128740,8,188,NA,7516,4386,6770,3771.720587,,,0
STU,46202540.14,17067566,5882256,5183162,1,1190,NA,18226,15961,29577,16279.38018,6724,6715,533360
TU,29350910.27,12177176,2838188,6752009,2,554,NA,16319,12365,20881,12087.83821,4984,5843,414400
ŽU,20430836.67,8275189,2102972,4136075,12,392,NA,11715,8879,13641,8487.340183,5044,4499,354448
TUAD,5997982.152,2843776,500044,789084,0,84,NA,5707,3142,3577,4262.640185,320,158,10048
EU,16989556.45,7489611,1315260,3112157,56,257,NA,12759,9808,13658,8159.700115,3530,3308,240288
SPU,15435365.48,6544134,1399328,2412016,10,258,NA,9964,6821,10084,7448.054339,3028,2536,164768
TU,8525810.176,3681714,755260,1498175,280,153,NA,5235,3353,5658,3215.565031,1524,1484,88048
VŠMU,4922606.56,2043530,410944,242425,0,61,NA,1052,936,282,2159.427692,,,0
VŠVU,3692731.456,1398953,289012,133417,0,57,NA,687,603,397,1283.38,,,0
AU,2663992.232,1187816,196196,293568,0,30,NA,629,560,228,1274.284812,136,100,6400
KU,9145252.08,4097915,922312,2031039,0,166,NA,7353,3825,8433,5968.89783,631,541,28992
UJS,2086538.248,991549,84828,636283,0,9,NA,2403,1552,1350,1188.415577,513,468,37440
