univerzita;dotacie;mzdy;dotacie-dokt;dotacie-stud;zamestnanci;int-dokt;dokt-abs;studenti;studenti-denni;pub-podiel-07711;pub-podiel-07712;absolventi;ubyt-kap-sd;ubyt-studenti-sd;prispevok-sd
UK;103051867;32723046;NA;10004050;NA;990;NA;24445;17632;24,69585858;27,23966311;NA;10882;9740;718224
UPJŠ;32298167;10262805;NA;2324348;NA;345;NA;7449;5113;8,722792247;9,99609899;NA;1776;1702;130944
PU;23202487;8553963;NA;3345616;NA;135;NA;9153;6782;5,371017524;3,673429203;NA;1933;1947;155760
UCM;11764367;4959662;NA;894425;NA;104;NA;6147;4200;2,749673775;2,475623829;NA;224;204;6528
UVL;13557866;5937554;NA;737398;NA;72;NA;2035;1818;1,782804223;2,06748583;NA;825;665;53200
UKF;22284730;8015627;NA;2329050;NA;195;NA;8289;6033;4,720541444;4,068592073;NA;1643;1643;131440
UMB;20943535;7240408;NA;2434150;NA;149;NA;7985,5;5566,5;4,520263185;3,640290727;NA;2439;2290;175328
TVU;11684633;4364870;NA;834196;NA;63;NA;4944;3253;3,235994673;2,237408226;NA;316;294;9408
STU;59950735;18959089;NA;6374063;NA;538;NA;13228;11053;11,06740343;12,53440113;NA;6278;6272;498784
TUKE;40293713;13617218;NA;4541499;NA;324;NA;9052;7667;10,81483981;11,12516498;NA;4986;4069;325520
ŽU;33430198;10899800;NA;3721181;NA;290;NA;9032;7384;5,07387728;6,124376607;NA;5032;3777;256800
TUAD;6117997;2221606;NA;379151;NA;15;NA;2376;1510;1,330371986;1,228821656;NA;215;122;9760
EU;20230665;7301362;NA;2422592;NA;114;NA;7944;6357;3,934771404;3,05114583;NA;2895;2528;166288
SPU;23609962;8504468;NA;2439651;NA;119;NA;7582;5720;4,463248306;4,315041166;NA;2688;2557;191552
TUZVO;12056653;3975459;NA;1040596;NA;88;NA;3033;2137;3,310735928;3,420075236;NA;1434;1078;86240
VŠMU;8204570;3326020;NA;185839;NA;34;NA;1030;885;0,275205715;0,073496077;NA;0;0;0
VŠVU;4955364;1968766;NA;103989;NA;29;NA;662;588;0,188435848;0,028790571;NA;0;0;0
AU;4171545;1848007;NA;166105;NA;28;NA;553;501;0,19904933;0,032720167;NA;136;108;6912
KU;10368261;3905252;NA;1097957;NA;90;NA;4177;2666;2,252478713;1,568096062;NA;642;466;19232
UJS;3944228;1519602;NA;548190;NA;23;NA;1741;1250;1,2906366;1,09927852;NA;413;362;28960
