univerzita;dotacie;mzdy;dotacie-dokt;dotacie-stud;zamestnanci;int-dokt;dokt-abs;studenti;studenti-denni;pub-podiel-07711;pub-podiel-07712;absolventi;ubyt-kap-sd;ubyt-studenti-sd;prispevok-sd
UK;98604885;29343511;NA;10563775;NA;1091;NA;25694;18420;24,15143883;26,22270614;NA;10891;10067;803968
UPJŠ;28637711;9021297;NA;2375637;NA;325;NA;7576;5352;8,147619654;8,725830668;NA;1776;1527;119968
PU;21700934;7513376;NA;3544213;NA;144;NA;9238;6664;5,133501716;4,040916781;NA;1933;1946;155680
UCM;11392966;4485974;NA;994500;NA;106;NA;6185;4311;2,837677778;2,618140035;NA;224;202;6464
UVL;12929318;5456897;NA;756338;NA;88;NA;2242;2010;1,907289707;1,988153353;NA;901;770;61600
UKF;21360450;7675552;NA;2252489;NA;197;NA;9153;6555;4,861426554;4,174987775;NA;1643;1643;131440
UMB;19964461;6888071;NA;2061279;NA;177;NA;9098;6246;4,453780891;3,642025937;NA;2434;2272;174080
TVU;11098001;3850832;NA;907098;NA;60;NA;5176;3381;3,182189547;2,436932289;NA;316;292;9344
STU;59619768;17936425;NA;6483871;NA;596;NA;14397;12073;12,35318548;14,19275265;NA;6550;5542;440384
TUKE;39727142;12644677;NA;4378338;NA;346;NA;9719;7959;11,12203564;11,49976802;NA;4986;4049;323920
ŽU;32477817;10321701;NA;3855574;NA;302;NA;9763;7762;4,887154977;5,225980913;NA;5032;4097;283072
TUAD;6157550;2117193;NA;427103;NA;24;NA;2707;1766;1,318922302;1,30409332;NA;215;117;9360
EU;18790968;6667616;NA;2470133;NA;149;NA;8546;6591;3,900483546;3,523768375;NA;2792;2466;165408
SPU;22983081;7945808;NA;2654280;NA;148;NA;8323;6160;4,108763117;4,115127912;NA;2736;2608;195488
TUZVO;11834689;3830587;NA;1106558;NA;82;NA;3484;2445;3,170668196;3,010587951;NA;1434;1155;92400
VŠMU;6967825;2716198;NA;140324;NA;36;NA;1017;877;0,226884996;0,063090944;NA;0;0;0
VŠVU;4130565;1574099;NA;117869;NA;27;NA;640;557;0,248643225;0,052545487;NA;0;0;0
AU;3899515;1585960;NA;100916;NA;26;NA;552;496;0,166553594;0,048320707;NA;136;108;6912
KU;10826815;3882266;NA;1319256;NA;111;NA;4771;3103;2,568677571;2,050774252;NA;665;322;15344
UJS;3695898;1435601;NA;474320;NA;17;NA;1734;1253;1,253102688;1,0634965;NA;413;371;29680
