univerzita;dotacie;mzdy;dotacie-dokt;dotacie-stud;zamestnanci;int-dokt;dokt-abs;studenti;studenti-denni;pub-podiel-07711;pub-podiel-07712;absolventi;ubyt-kap-sd;ubyt-studenti-sd;prispevok-sd
UK;81386261,74;22914507;5874960;9129132;NA;1591;NA;27714;22447;21,29544318;26,63898234;NA;10927;10159;800800
UPJŠ;25847418,24;7266005;1679520;2995921;NA;361;NA;8728;7477;6,564443569;9,264289837;NA;1806;1803;131920
PU;20814817,01;5924397;1061460;4967091;NA;219;NA;9872;6941;6,09681663;4,591444476;NA;1933;1987;156624
UCM;8420137,119;3103689;338460;926946;NA;79;NA;5445;4227;2,410894665;2,043675628;NA;223;218;13952
UVL;10076863,32;3344291;460500;1016792;NA;118;NA;2082;1901;1,79723299;2,196006338;NA;901;837;66960
UKF;20596895,23;6945816;1165800;2582975;NA;254;NA;12208;8361;6,826387071;5,642482141;NA;1559;1559;124720
UMB;20539225,45;6752735;955800;3121150;NA;267;NA;12168;7966;6,572278175;4,964384231;NA;2434;2288;161360
TVU;10644006,71;3621401;543660;1069164;NA;191;NA;7076;4375;4,245190706;2,953548672;NA;0;0;0
STU;57961374,83;16787886;4639020;5286672;NA;1215;NA;17796;17018;10,69866399;13,29267174;NA;6538;6534;519744
TUKE;38993318,4;12117940;1764720;6583930;NA;541;NA;15325;12284;8,141937997;8,445867195;NA;4984;5366;429280
ŽU;27069175,81;8242808;977160;4376498;NA;383;NA;11352;9359;3,920745088;3,273069209;NA;5048;4534;362720
TUAD;6978816,807;2504025;366960;700630;NA;85;NA;4442;2897;1,132374735;1,22323737;NA;300;143;4576
EU;20702854,54;7175864;816600;3070075;NA;245;NA;11540;9188;5,654726965;3,722011865;NA;3365;3300;243360
SPU;20414127,16;6825886;596940;2538394;NA;245;NA;9850;7143;4,797678372;4,400455048;NA;3071;3013;231376
TUZVO;11439793,17;3638581;758580;1400300;NA;154;NA;4862;3379;3,306724147;2,905539192;NA;1524;1430;105984
VŠMU;5863590,816;2155821;271740;203968;NA;68;NA;1105;1045;0,240176429;0,131349296;NA;0;0;0
VŠVU;3783037,785;1321658;238980;123124;NA;65;NA;672;647;0,523321016;0,178785006;NA;0;0;0
AU;3310613,091;1223047;112860;289239;NA;35;NA;613;570;0,28472747;0,166907465;NA;136;108;6912
KU;12451732,97;3722800;685560;2236645;NA;176;NA;7754;4394;4,611248443;3,356470468;NA;648;375;30400
UJS;3066255,821;1044148;65340;633382;NA;14;NA;2219;1556;0,878988361;0,60882249;NA;513;440;35200
