univerzita;dotacie;mzdy;dotacie-dokt;dotacie-stud;zamestnanci;int-dokt;dokt-abs;studenti;studenti-denni;pub-podiel-07711;pub-podiel-07712;absolventi;ubyt-kap-sd;ubyt-studenti-sd;prispevok-sd
UK;87178106;24825894;4324576;8971933;NA;1644;NA;27553;22693;21,09411276;30,21748703;NA;10923;10090;798352
UPJŠ;25039139;7786973;929760;2165758;NA;391;NA;8441;7341;5,717270987;8,952648304;NA;1806;1626;126832
PU;20109134;6557780;657984;3564469;NA;207;NA;10105;7478;6,567317392;3,961672086;NA;1937;2011;160880
UCM;9194847;3594294;97744;1025399;NA;79;NA;5984;4541;3,011222711;2,002218503;NA;224;215;13760
UVL;10905927;3838187;433888;793973;NA;119;NA;2185;2007;1,906589432;2,725992942;NA;901;866;69280
UKF;20192249;7364745;390976;2490427;NA;242;NA;11714;8141;6,600709248;5,327422713;NA;1715;1713;137040
UMB;19212263;6670186;328992;2454666;NA;241;NA;11387;7826;6,234504895;4,158508836;NA;2434;2306;162720
TVU;10566731;3918882;128736;864892;NA;133;NA;6653;4409;4,196544869;2,838505292;NA;0;0;0
STU;56949202;17238516;2093152;6049259;NA;1103;NA;17125;16580;10,27895579;12,97957678;NA;6544;6536;519904
TUKE;39102117;12265454;963136;6013570;NA;464;NA;13169;10762;8,969225285;8,751254489;NA;4984;4788;383040
ŽU;28387075;8663995;386208;4672929;NA;322;NA;11140;9399;4,100900872;3,400564318;NA;5024;4481;358480
TUAD;6577023;2416530;112048;658642;NA;77;NA;3875;2568;1,283835793;1,230419297;NA;306;141;10144
EU;19766094;7203899;257472;2791137;NA;218;NA;10659;8668;4,966013904;2,691856243;NA;3583;3291;232896
SPU;21054167;7161881;433888;2607714;NA;225;NA;9481;7147;5,159779882;4,032557406;NA;2740;2677;193696
TUZVO;11135502;3738020;157344;1401271;NA;131;NA;4502;3274;3,491128128;3,129649862;NA;1524;1472;117760
VŠMU;5758098;2263748;90592;182079;NA;59;NA;1094;1048;0,24954437;0,122355103;NA;0;0;0
VŠVU;3864397;1389622;95360;96892;NA;61;NA;674;653;0,480674749;0,1340261;NA;0;0;0
AU;3641249;1368141;57216;315466;NA;28;NA;586;542;0,30950764;0,113046465;NA;136;108;6912
KU;11778248;4088371;154960;1542090;NA;167;NA;7517;4737;4,249182814;2,581258429;NA;667;550;29936
UJS;3121950;1168169;33376;512735;NA;19;NA;2061;1533;1,132978476;0,648979806;NA;513;464;37120
