univerzita;dotacie;mzdy;dotacie-dokt;dotacie-stud;zamestnanci;int-dokt;dokt-abs;studenti;studenti-denni;pub-podiel-07711;pub-podiel-07712;absolventi;ubyt-kap-sd;ubyt-studenti-sd;prispevok-sd
UK;121955717;45292401;NA;8366062;NA;1059;NA;22064;16008;25,01894903;27,32469877;5746;10672;9659;723440
UPJŠ;39901646;15759701;NA;1708098;NA;331;NA;7143;4869;10,28344157;11,87461182;1451;1796;1700;131040
PU;25944007;10752105;NA;2191662;NA;111;NA;8329;6220;5,000877645;3,743142954;2679;1925;1926;154080
UCM;12569647;5654847;NA;510545;NA;92;NA;5258;3622;2,405587411;2,045793753;1489;237;204;13056
UVL;14685950;6765593;NA;569608;NA;85;NA;1852;1649;1,717020308;1,795710908;283;825;646;41344
UKF;22992654;9112337;NA;1671564;NA;140;NA;6985;4993;4,110149323;3,701640367;2319;1469;1598;127840
UMB;21200714;8024699;NA;2061725;NA;78;NA;6664,5;4821,5;4,181999587;3,301383397;2374;2588;2302;181600
TVU;13597563;5621965;NA;552818;NA;52;NA;4670;3027;3,288927895;2,606404847;1341;316;295;9440
STU;69123753;23429936;NA;5908557;NA;487;NA;10981;9250;10,85506166;12,03031417;2993;6639;6448;514368
TUKE;50036590;18164943;NA;4279580;NA;278;NA;9307;7917;10,57664033;11,21525467;2379;4986;4341;347280
ŽU;37464935;13183264;NA;3231660;NA;248;NA;7434;6232;5,418203722;5,166306809;2160;4722;3388;217328
TUAD;8700064;3246711;NA;270242;NA;29;NA;2292;1657;1,59357638;1,614910971;535;96;81;6480
EU;20686395;8272310;NA;2116712;NA;108;NA;6991;5856;3,064297749;2,072873923;2200;2966;2590;179536
SPU;23702801;8595728;NA;1826756;NA;106;NA;5725;4456;4,462745531;4,358179454;1966;2523;2065;153104
TUZVO;13298264;4646439;NA;770427;NA;73;NA;2353;1578;4,436786017;4,896027281;690;1278;906;51216
VŠMU;8857002;4161198;NA;79621;NA;52;NA;1035;863;0,186396221;0,068131144;299;0;0;0
VŠVU;6168407;2685394;NA;47348;NA;33;NA;627;553;0,127124492;0,040231361;151;0;0;0
AU;5183202;2386136;NA;126365;NA;27;NA;574;500;0,182147801;0,048743057;164;136;108;8192
KU;10075146;4175809;NA;631633;NA;46;NA;3640;2408;2,006991177;1,190631528;1011;628;481;18704
UJS;4775467;2006119;NA;440140;NA;19;NA;1832;1335;1,083076158;0,905008827;470;767;540;40016
