univerzita;fakulta;typ;rok;spolu full-time;spolu part-time;ženy full-time;ženy part-time
UNIVERZITA KOMENSKÉHO;Lekárska fakulta UK;verejná;2011;421;115;203;44
UNIVERZITA KOMENSKÉHO;Jesseniova lek. fak. UK;verejná;2011;175;20;87;9
UNIVERZITA KOMENSKÉHO;Farmaceutická fak. UK;verejná;2011;109;10;71;3
UNIVERZITA KOMENSKÉHO;Právnická fakulta UK;verejná;2011;84;29;35;12
UNIVERZITA KOMENSKÉHO;Filozofická fakulta UK;verejná;2011;249;3;133;2
UNIVERZITA KOMENSKÉHO;Fa soc.a ekonom.vied UK;verejná;2011;22;0;12;0
UNIVERZITA KOMENSKÉHO;Pedagogická fakulta UK;verejná;2011;116;17;73;8
UNIVERZITA KOMENSKÉHO;Fakulta TV a športu UK;verejná;2011;57;5;22;2
UNIVERZITA P.J.ŠAFÁRIKA;UPJŠ - rektorát;verejná;2011;15;0;6;0
UNIVERZITA P.J.ŠAFÁRIKA;Prírodovedecká fak.UPJŠ;verejná;2011;129;22;41;10
UNIVERZITA P.J.ŠAFÁRIKA;Fa verejnej správy UPJŠ;verejná;2011;29;2;19;1
UNIVERZITA P.J.ŠAFÁRIKA;Lekárska fakulta  UPJŠ;verejná;2011;257;40;140;15
UNIVERZITA P.J.ŠAFÁRIKA;Právnická fakulta UPJŠ;verejná;2011;50;8;18;4
UNIVERZITA P.J.ŠAFÁRIKA;Filozofická fak. UPJŠ;verejná;2011;109;9;67;3
PREŠOVSKÁ UNIVERZITA;Gréckokat.teol. fak. PU;verejná;2011;24;1;4;0
PREŠOVSKÁ UNIVERZITA;Pravosláv. boh. fak. PU;verejná;2011;18;0;2;0
PREŠOVSKÁ UNIVERZITA;PU - rektorát;verejná;2011;23;0;17;0
PREŠOVSKÁ UNIVERZITA;Fakulta manažmentu PU;verejná;2011;69;4;34;0
PREŠOVSKÁ UNIVERZITA;Fa zdrav. odborov PU;verejná;2011;57;75;46;45
PREŠOVSKÁ UNIVERZITA;Filozofická fakulta  PU;verejná;2011;197;56;110;28
PREŠOVSKÁ UNIVERZITA;Fa hum. a prír.vied PU;verejná;2011;71;12;32;3
PREŠOVSKÁ UNIVERZITA;Pedagogická fakulta PU;verejná;2011;53;4;37;3
PREŠOVSKÁ UNIVERZITA;Fakulta športu PU;verejná;2011;21;6;9;0
UNIV.sv.CYRILA a METODA;UCaM - rektorát;verejná;2011;53;20;18;8
UNIV.sv.CYRILA a METODA;Fa prírodných vied UCM;verejná;2011;38;1;11;0
UNIV.sv.CYRILA a METODA;Filozofická fakulta UCM;verejná;2011;96;8;47;1
UNIV.sv.CYRILA a METODA;Fa masmed. komunik. UCM;verejná;2011;72;11;32;4
KATOLÍCKA UNIVERZITA;Teologická fakulta KU;verejná;2011;59;26;9;5
KATOLÍCKA UNIVERZITA;Fa zdravotníctva KU;verejná;2011;33;16;13;4
KATOLÍCKA UNIVERZITA;Filozofická fakulta KU;verejná;2011;64;3;20;2
KATOLÍCKA UNIVERZITA;Pedagogická fakulta KU;verejná;2011;214;38;95;14
UNIVERZITA J.SELYEHO;Reform.teolog. fak. UJS;verejná;2011;8;0;1;0
UNIVERZITA J.SELYEHO;Ekonomická fakulta UJS;verejná;2011;34;3;15;0
UNIVERZITA J.SELYEHO;Pedagogická fakulta UJS;verejná;2011;45;2;16;1
UNIVERZITA VETERIN.LEK.;Fa veter. lekár.(fikt.);verejná;2011;182;9;90;3
UNIVER. KONŠT. FILOZOFA;Fa prírodných vied UKF;verejná;2011;116;11;56;1
UNIVER. KONŠT. FILOZOFA;Fa stredoeur.štúdií UKF;verejná;2011;34;4;15;0
UNIVER. KONŠT. FILOZOFA;Filozofická fakulta UKF;verejná;2011;213;9;112;6
UNIVER. KONŠT. FILOZOFA;Fa sociálnych vied UKF;verejná;2011;57;20;29;9
UNIVER. KONŠT. FILOZOFA;Pedagogická fakulta UKF;verejná;2011;93;10;54;6
UNIVERZITA MATEJA BELA;Fa prírodných vied UMB;verejná;2011;113;12;40;4
UNIVERZITA MATEJA BELA;Ekonomická fakulta  UMB;verejná;2011;135;10;88;3
UNIVERZITA MATEJA BELA;Právnická fakulta UMB;verejná;2011;39;7;13;2
UNIVERZITA MATEJA BELA;Fa politických vied UMB;verejná;2011;37;7;17;1
UNIVERZITA MATEJA BELA;Fa humanit. vied UMB;verejná;2011;153;3;75;0
UNIVERZITA MATEJA BELA;Pedagogická fakulta UMB;verejná;2011;103;6;62;4
TRNAVSKÁ UNIVERZITA;Teologická fakulta  TTU;verejná;2011;21;33;6;12
TRNAVSKÁ UNIVERZITA;F zdrav.a soc.práce TTU;verejná;2011;68;6;40;2
TRNAVSKÁ UNIVERZITA;Právnická fakulta TTU;verejná;2011;59;12;20;5
TRNAVSKÁ UNIVERZITA;Filozofická fakulta TTU;verejná;2011;59;8;25;2
TRNAVSKÁ UNIVERZITA;Pedagogická fakulta TTU;verejná;2011;91;9;49;6
SLOV.TECHN. UNIVERZITA;Fa informatiky a IT STU;verejná;2011;37;19;12;5
SLOV.TECHN. UNIVERZITA;Strojnícka fakulta  STU;verejná;2011;116;14;32;2
SLOV.TECHN. UNIVERZITA;Materiálovotech.fak.STU;verejná;2011;190;16;69;0
SLOV.TECHN. UNIVERZITA;Stavebná fakulta  STU;verejná;2011;222;38;98;13
SLOV.TECHN. UNIVERZITA;Fa elektr. a inf. STU;verejná;2011;190;40;43;6
SLOV.TECHN. UNIVERZITA;F chem.potrav.techn.STU;verejná;2011;165;15;58;4
SLOV.TECHN. UNIVERZITA;Fa architektúry STU;verejná;2011;98;16;48;2
SLOV.TECHN. UNIVERZITA;STU - rektorát;verejná;2011;33;0;17;0
TECH. UNIVERZITA KOŠICE;Fa výrob.technológií TU;verejná;2011;69;3;21;0
TECH. UNIVERZITA KOŠICE;Fa baníctva,ekol., TU;verejná;2011;115;3;38;1
TECH. UNIVERZITA KOŠICE;Hutnícka fakulta  TU;verejná;2011;77;1;31;1
TECH. UNIVERZITA KOŠICE;Strojnícka fakulta  TU;verejná;2011;135;19;43;9
TECH. UNIVERZITA KOŠICE;Stavebná fakulta  TU;verejná;2011;67;5;35;1
TECH. UNIVERZITA KOŠICE;Fa elektr. a infor. TU;verejná;2011;151;7;37;0
TECH. UNIVERZITA KOŠICE;TU K - rektorát;verejná;2011;49;4;33;3
TECH. UNIVERZITA KOŠICE;Ekonomická fakulta  TU;verejná;2011;49;1;28;0
TECH. UNIVERZITA KOŠICE;Fa umení TU;verejná;2011;37;7;5;0
TECH. UNIVERZITA KOŠICE;Letecká fakulta TU;verejná;2011;55;0;7;0
ŽILINSKÁ UNIVERZITA;Fa humanitných vied ŽU;verejná;2011;85;6;49;3
ŽILINSKÁ UNIVERZITA;Strojnícka fakulta  ŽU;verejná;2011;88;4;28;0
ŽILINSKÁ UNIVERZITA;Stavebná fakulta  ŽU;verejná;2011;65;3;23;2
ŽILINSKÁ UNIVERZITA;Elektrotechn. fak.  ŽU;verejná;2011;104;10;21;1
ŽILINSKÁ UNIVERZITA;ŽU - rektorát;verejná;2011;47;0;26;0
ŽILINSKÁ UNIVERZITA;Fakulta PEDAS  ŽU;verejná;2011;116;5;58;1
ŽILINSKÁ UNIVERZITA;Fa riadenia a inf. ŽU;verejná;2011;92;1;27;0
ŽILINSKÁ UNIVERZITA;Fa špeciálneho inž. ŽU;verejná;2011;45;0;15;0
TRENČIANSKA UNIVERZITA;Fa špec. techniky TnUAD;verejná;2011;35;1;7;0
TRENČIANSKA UNIVERZITA;Fa mechatroniky TnUAD;verejná;2011;3;0;0;0
TRENČIANSKA UNIVERZITA;Fa priem.technol.TnUAD;verejná;2011;29;9;15;7
TRENČIANSKA UNIVERZITA;TnUAD - rektorát;verejná;2011;18;3;4;0
TRENČIANSKA UNIVERZITA;Fa soc.-ekon.vzť. TnUAD;verejná;2011;63;7;41;4
TRENČIANSKA UNIVERZITA;Fa zdravotníctva TnUAD;verejná;2011;22;6;13;0
EKONOMICKÁ UNIVERZITA;Fa podn. manažmentu EU;verejná;2011;109;2;62;2
EKONOMICKÁ UNIVERZITA;Obchodná fakulta  EU;verejná;2011;91;16;55;9
EKONOMICKÁ UNIVERZITA;Fa hosp. informatiky EU;verejná;2011;103;8;63;2
EKONOMICKÁ UNIVERZITA;Podnikovohosp. fak. EU;verejná;2011;61;3;39;0
EKONOMICKÁ UNIVERZITA;Národohosp. fakulta  EU;verejná;2011;111;22;69;10
EKONOMICKÁ UNIVERZITA;EU - rektorát;verejná;2011;12;6;6;1
EKONOMICKÁ UNIVERZITA;Fa medzin. vzťahov EU;verejná;2011;32;4;13;1
EKONOMICKÁ UNIVERZITA;Fa aplikov. jazykov EU;verejná;2011;65;11;56;7
SLOV. POĽNOHOSP. UNIV.;Fa biotechn. a potr.SPU;verejná;2011;59;5;33;0
SLOV. POĽNOHOSP. UNIV.;Fa ekonom. a manažm.SPU;verejná;2011;109;9;71;6
SLOV. POĽNOHOSP. UNIV.;Fa agrobiol.,potr.zdr.;verejná;2011;109;1;34;0
SLOV. POĽNOHOSP. UNIV.;Technická fakulta SPU;verejná;2011;72;1;10;0
SLOV. POĽNOHOSP. UNIV.;Fa záhrad. a kraj. inž.;verejná;2011;60;4;23;1
SLOV. POĽNOHOSP. UNIV.;F eur.štúdií a reg.rozv;verejná;2011;38;3;23;2
TECH. UNIVERZITA ZVOLEN;Fa envir. a výr.tech.TU;verejná;2011;35;0;9;0
TECH. UNIVERZITA ZVOLEN;Lesnícka fakulta  TU;verejná;2011;66;2;9;0
TECH. UNIVERZITA ZVOLEN;Drevárska fakulta  TU;verejná;2011;103;4;39;1
TECH. UNIVERZITA ZVOLEN;Fa ekológie a envir.TU;verejná;2011;39;5;15;2
TECH. UNIVERZITA ZVOLEN;TU Z - rektorát;verejná;2011;12;3;10;2
VŠ MÚZICKÝCH UMENÍ;Film. a telev. fak.VŠMU;verejná;2011;28;60;6;18
VŠ MÚZICKÝCH UMENÍ;Divadelná fakulta VŠMU;verejná;2011;31;25;15;9
VŠ MÚZICKÝCH UMENÍ;Hud.a tanečná fak. VŠMU;verejná;2011;60;32;22;16
VŠ MÚZICKÝCH UMENÍ;VŠMU - rektorát;verejná;2011;6;2;6;2
VŠ VÝTVARNÝCH UMENÍ;Fa výtvar. umení VŠVU;verejná;2011;107;0;32;0
AKADÉMIA UMENÍ;Fa dramat. umení AU;verejná;2011;37;11;9;2
AKADÉMIA UMENÍ;Fa múzických umení AU;verejná;2011;37;8;17;4
AKADÉMIA UMENÍ;Fa výtvarných umení AU;verejná;2011;31;2;5;1
UNIVERZITA KOMENSKÉHO;UK - rektorát;verejná;2011;0;1;0;1
AKADÉMIA MÉDIÍ;Fa médií (fikt.);súkromná;2011;3;0;0;0
BRATISLAVSKÁ MEDZ.ŠKOLA;Fa liberálnych štúdií;súkromná;2011;6;15;1;2
VŠ V SLÁDKOVIČOVE;VŠS - rektorát;súkromná;2011;10;1;6;1
VŠ V SLÁDKOVIČOVE;Fa verejnej politiky;súkromná;2011;18;11;6;4
VŠ V SLÁDKOVIČOVE;Fa práva J.Jesenského;súkromná;2011;45;25;16;6
VŠ V SLÁDKOVIČOVE;Fa sociálnych štúdií;súkromná;2011;19;36;8;21
PANEURÓPSKA VŠ;Fa informatiky PEVŠ;súkromná;2011;10;0;1;0
PANEURÓPSKA VŠ;Fa ekon. a podnikania;súkromná;2011;24;0;11;0
PANEURÓPSKA VŠ;Fa práva PEVŠ;súkromná;2011;54;3;17;2
PANEURÓPSKA VŠ;Fa masmédií PEVŠ;súkromná;2011;30;0;10;0
PANEURÓPSKA VŠ;Fa psychológie PEVŠ;súkromná;2011;5;1;4;0
VŠZaSP sv.ALŽBETY;Fa zdravotníctva (fikt);súkromná;2011;462;0;214;0
DUBNICKÝ TECHN.INŚTITÚT;Elektrotechnická fak.;súkromná;2011;87;10;36;4
VŠ EKON. a MANAŽMENTU;F ek.a manaž.ver.správy;súkromná;2011;69;1;37;1
VŠ MANAŽMENTU;Fa manažmentu VŠM;súkromná;2011;50;27;23;8
STREDOEURÓPSKA VŠ;Ekonomická fakulta SEVŠ;súkromná;2011;42;0;14;0
VŠ MEDZIN.PODNIKANIA;Ekonomická fakulta ISM;súkromná;2011;35;1;22;1
HUDOBNÁ A UMELECKÁ AKAD;Hudobná akadémia HUAJA;súkromná;2011;2;1;1;0
VŠ BEZPEČN. MANAŽÉRSTVA;FA bezpečn. manažérstva;súkromná;2011;87;0;33;0
SLOV.ZDRAVOTNÍCKA UNIV.;Fa ošetr.,zdrav.odb.štú;štátna;2011;40;9;33;6
SLOV.ZDRAVOTNÍCKA UNIV.;Lekárska fakulta;štátna;2011;158;166;90;66
SLOV.ZDRAVOTNÍCKA UNIV.;Fa verejného zdravotn.;štátna;2011;31;7;23;2
SLOV.ZDRAVOTNÍCKA UNIV.;Fa zdravotníctva;štátna;2011;16;6;10;2
AKADÉMIA OZBROJ.SÍL;Vojenská fakulta AOS;štátna;2011;67;0;12;0
AKADÉMIA POLIC.ZBORU;Fa Polic.zboru (fikt.);štátna;2011;87;1;34;0
UNIVERZITA KOMENSKÉHO;Rímskokat.bohosl.fak.UK;verejná;2012;26;56;2;9
UNIVERZITA KOMENSKÉHO;Evanj. bohosl. fak. UK;verejná;2012;12;4;4;1
UNIVERZITA KOMENSKÉHO;Fa matem.fyz. a inf. UK;verejná;2012;186;11;49;2
UNIVERZITA KOMENSKÉHO;Prírodovedecká fak. UK;verejná;2012;255;31;100;11
UNIVERZITA KOMENSKÉHO;Fakulta managementu UK;verejná;2012;79;43;48;13
UNIVERZITA KOMENSKÉHO;Lekárska fakulta UK;verejná;2012;424;115;210;43
UNIVERZITA KOMENSKÉHO;Jesseniova lek. fak. UK;verejná;2012;169;25;78;16
UNIVERZITA KOMENSKÉHO;Farmaceutická fak. UK;verejná;2012;111;11;73;6
UNIVERZITA KOMENSKÉHO;Právnická fakulta UK;verejná;2012;91;31;37;13
UNIVERZITA KOMENSKÉHO;Filozofická fakulta UK;verejná;2012;256;5;143;2
UNIVERZITA KOMENSKÉHO;Fa soc.a ekonom.vied UK;verejná;2012;30;4;16;2
UNIVERZITA KOMENSKÉHO;Pedagogická fakulta UK;verejná;2012;115;19;73;12
UNIVERZITA KOMENSKÉHO;Fakulta TV a športu UK;verejná;2012;58;3;23;1
UNIVERZITA P.J.ŠAFÁRIKA;UPJŠ - rektorát;verejná;2012;12;1;5;0
UNIVERZITA P.J.ŠAFÁRIKA;Prírodovedecká fak.UPJŠ;verejná;2012;129;19;41;7
UNIVERZITA P.J.ŠAFÁRIKA;Fa verejnej správy UPJŠ;verejná;2012;29;0;18;0
UNIVERZITA P.J.ŠAFÁRIKA;Lekárska fakulta  UPJŠ;verejná;2012;246;46;136;16
UNIVERZITA P.J.ŠAFÁRIKA;Právnická fakulta UPJŠ;verejná;2012;52;5;20;2
UNIVERZITA P.J.ŠAFÁRIKA;Filozofická fak. UPJŠ;verejná;2012;111;8;67;3
PREŠOVSKÁ UNIVERZITA;Gréckokat.teol. fak. PU;verejná;2012;24;1;4;0
PREŠOVSKÁ UNIVERZITA;Pravosláv. boh. fak. PU;verejná;2012;19;1;2;0
PREŠOVSKÁ UNIVERZITA;PU - rektorát;verejná;2012;23;1;17;0
PREŠOVSKÁ UNIVERZITA;Fakulta manažmentu PU;verejná;2012;71;7;38;0
PREŠOVSKÁ UNIVERZITA;Fa zdrav. odborov PU;verejná;2012;57;13;46;1
PREŠOVSKÁ UNIVERZITA;Filozofická fakulta  PU;verejná;2012;188;57;107;27
PREŠOVSKÁ UNIVERZITA;Fa hum. a prír.vied PU;verejná;2012;69;11;29;6
PREŠOVSKÁ UNIVERZITA;Pedagogická fakulta PU;verejná;2012;50;8;34;6
PREŠOVSKÁ UNIVERZITA;Fakulta športu PU;verejná;2012;22;5;10;0
UNIV.sv.CYRILA a METODA;UCaM - rektorát;verejná;2012;26;19;11;7
UNIV.sv.CYRILA a METODA;Fa prírodných vied UCM;verejná;2012;43;5;14;0
UNIV.sv.CYRILA a METODA;Filozofická fakulta UCM;verejná;2012;109;14;53;7
UNIV.sv.CYRILA a METODA;Fa masmed. komunik. UCM;verejná;2012;82;3;37;2
UNIV.sv.CYRILA a METODA;Fa sociálnych vied UCM;verejná;2012;43;2;16;0
KATOLÍCKA UNIVERZITA;Teologická fakulta KU;verejná;2012;43;25;7;4
KATOLÍCKA UNIVERZITA;Fa zdravotníctva KU;verejná;2012;34;13;15;4
KATOLÍCKA UNIVERZITA;Filozofická fakulta KU;verejná;2012;59;7;20;3
KATOLÍCKA UNIVERZITA;Pedagogická fakulta KU;verejná;2012;211;36;97;11
UNIVERZITA J.SELYEHO;Reform.teolog. fak. UJS;verejná;2012;8;0;1;0
UNIVERZITA J.SELYEHO;Ekonomická fakulta UJS;verejná;2012;34;5;14;0
UNIVERZITA J.SELYEHO;Pedagogická fakulta UJS;verejná;2012;49;5;21;2
UNIVERZITA VETERIN.LEK.;Fa veter. lekár.(fikt.);verejná;2012;186;17;95;9
UNIVER. KONŠT. FILOZOFA;Fa prírodných vied UKF;verejná;2012;109;14;52;2
UNIVER. KONŠT. FILOZOFA;Fa stredoeur.štúdií UKF;verejná;2012;35;2;13;1
UNIVER. KONŠT. FILOZOFA;Filozofická fakulta UKF;verejná;2012;217;6;119;3
UNIVER. KONŠT. FILOZOFA;Fa sociálnych vied UKF;verejná;2012;57;25;28;14
UNIVER. KONŠT. FILOZOFA;Pedagogická fakulta UKF;verejná;2012;95;9;55;6
UNIVERZITA MATEJA BELA;Fa prírodných vied UMB;verejná;2012;109;14;37;7
UNIVERZITA MATEJA BELA;Ekonomická fakulta  UMB;verejná;2012;131;9;87;4
UNIVERZITA MATEJA BELA;Právnická fakulta UMB;verejná;2012;39;8;14;4
UNIVERZITA MATEJA BELA;Fa politických vied UMB;verejná;2012;38;9;17;1
UNIVERZITA MATEJA BELA;Fa humanit. vied UMB;verejná;2012;152;5;75;2
UNIVERZITA MATEJA BELA;Pedagogická fakulta UMB;verejná;2012;102;7;62;4
TRNAVSKÁ UNIVERZITA;Teologická fakulta  TTU;verejná;2012;25;20;5;10
TRNAVSKÁ UNIVERZITA;F zdrav.a soc.práce TTU;verejná;2012;65;5;39;1
TRNAVSKÁ UNIVERZITA;Právnická fakulta TTU;verejná;2012;57;13;21;6
TRNAVSKÁ UNIVERZITA;Filozofická fakulta TTU;verejná;2012;63;8;28;4
TRNAVSKÁ UNIVERZITA;Pedagogická fakulta TTU;verejná;2012;86;11;43;7
SLOV.TECHN. UNIVERZITA;Fa informatiky a IT STU;verejná;2012;39;15;14;4
SLOV.TECHN. UNIVERZITA;Strojnícka fakulta  STU;verejná;2012;113;13;29;2
SLOV.TECHN. UNIVERZITA;Materiálovotech.fak.STU;verejná;2012;179;18;66;2
SLOV.TECHN. UNIVERZITA;Stavebná fakulta  STU;verejná;2012;218;39;97;15
SLOV.TECHN. UNIVERZITA;Fa elektr. a inf. STU;verejná;2012;177;41;40;8
SLOV.TECHN. UNIVERZITA;F chem.potrav.techn.STU;verejná;2012;171;24;57;7
SLOV.TECHN. UNIVERZITA;Fa architektúry STU;verejná;2012;102;14;49;4
SLOV.TECHN. UNIVERZITA;STU - rektorát;verejná;2012;33;2;19;1
TECH. UNIVERZITA KOŠICE;Fa výrob.technológií TU;verejná;2012;70;3;23;0
TECH. UNIVERZITA KOŠICE;Fa baníctva,ekol., TU;verejná;2012;121;1;42;0
TECH. UNIVERZITA KOŠICE;Hutnícka fakulta  TU;verejná;2012;77;1;32;1
TECH. UNIVERZITA KOŠICE;Strojnícka fakulta  TU;verejná;2012;119;30;40;8
TECH. UNIVERZITA KOŠICE;Stavebná fakulta  TU;verejná;2012;69;4;34;0
TECH. UNIVERZITA KOŠICE;Fa elektr. a infor. TU;verejná;2012;145;3;34;0
TECH. UNIVERZITA KOŠICE;TU K - rektorát;verejná;2012;51;0;34;0
TECH. UNIVERZITA KOŠICE;Ekonomická fakulta  TU;verejná;2012;51;1;28;0
TECH. UNIVERZITA KOŠICE;Fa umení TU;verejná;2012;25;12;3;1
TECH. UNIVERZITA KOŠICE;Letecká fakulta TU;verejná;2012;53;0;6;0
ŽILINSKÁ UNIVERZITA;Fa humanitných vied ŽU;verejná;2012;81;3;48;2
ŽILINSKÁ UNIVERZITA;Strojnícka fakulta  ŽU;verejná;2012;83;6;25;2
ŽILINSKÁ UNIVERZITA;Stavebná fakulta  ŽU;verejná;2012;64;1;21;1
ŽILINSKÁ UNIVERZITA;Elektrotechn. fak.  ŽU;verejná;2012;102;7;23;0
ŽILINSKÁ UNIVERZITA;ŽU - rektorát;verejná;2012;44;0;23;0
ŽILINSKÁ UNIVERZITA;Fakulta PEDAS  ŽU;verejná;2012;118;6;60;2
ŽILINSKÁ UNIVERZITA;Fa riadenia a inf. ŽU;verejná;2012;95;1;27;0
ŽILINSKÁ UNIVERZITA;Fa špeciálneho inž. ŽU;verejná;2012;45;0;15;0
TRENČIANSKA UNIVERZITA;Fa špec. techniky TnUAD;verejná;2012;40;2;11;0
TRENČIANSKA UNIVERZITA;Fa priem.technol.TnUAD;verejná;2012;23;11;15;3
TRENČIANSKA UNIVERZITA;TnUAD - rektorát;verejná;2012;22;1;5;0
TRENČIANSKA UNIVERZITA;Fa soc.-ekon.vzť. TnUAD;verejná;2012;62;5;38;2
TRENČIANSKA UNIVERZITA;Fa zdravotníctva TnUAD;verejná;2012;22;11;14;4
EKONOMICKÁ UNIVERZITA;Fa podn. manažmentu EU;verejná;2012;107;2;61;1
EKONOMICKÁ UNIVERZITA;Obchodná fakulta  EU;verejná;2012;99;8;61;4
EKONOMICKÁ UNIVERZITA;Fa hosp. informatiky EU;verejná;2012;102;7;60;3
EKONOMICKÁ UNIVERZITA;Podnikovohosp. fak. EU;verejná;2012;61;6;38;2
EKONOMICKÁ UNIVERZITA;Národohosp. fakulta  EU;verejná;2012;109;22;65;7
EKONOMICKÁ UNIVERZITA;EU - rektorát;verejná;2012;12;5;6;1
EKONOMICKÁ UNIVERZITA;Fa medzin. vzťahov EU;verejná;2012;32;4;16;1
EKONOMICKÁ UNIVERZITA;Fa aplikov. jazykov EU;verejná;2012;72;7;60;5
SLOV. POĽNOHOSP. UNIV.;Fa biotechn. a potr.SPU;verejná;2012;59;4;32;0
SLOV. POĽNOHOSP. UNIV.;Fa ekonom. a manažm.SPU;verejná;2012;105;8;65;6
SLOV. POĽNOHOSP. UNIV.;Fa agrobiol.,potr.zdr.;verejná;2012;107;1;33;0
SLOV. POĽNOHOSP. UNIV.;Technická fakulta SPU;verejná;2012;72;2;11;0
SLOV. POĽNOHOSP. UNIV.;Fa záhrad. a kraj. inž.;verejná;2012;53;2;23;1
SLOV. POĽNOHOSP. UNIV.;SPU - rektorát;verejná;2012;3;1;1;0
SLOV. POĽNOHOSP. UNIV.;F eur.štúdií a reg.rozv;verejná;2012;35;4;20;3
TECH. UNIVERZITA ZVOLEN;Fa envir. a výr.tech.TU;verejná;2012;37;0;10;0
TECH. UNIVERZITA ZVOLEN;Lesnícka fakulta  TU;verejná;2012;67;3;9;0
TECH. UNIVERZITA ZVOLEN;Drevárska fakulta  TU;verejná;2012;105;4;39;0
TECH. UNIVERZITA ZVOLEN;Fa ekológie a envir.TU;verejná;2012;40;6;15;2
TECH. UNIVERZITA ZVOLEN;TU Z - rektorát;verejná;2012;12;0;9;0
VŠ MÚZICKÝCH UMENÍ;Film. a telev. fak.VŠMU;verejná;2012;26;66;6;19
VŠ MÚZICKÝCH UMENÍ;Divadelná fakulta VŠMU;verejná;2012;30;34;14;13
VŠ MÚZICKÝCH UMENÍ;Hud.a tanečná fak. VŠMU;verejná;2012;60;31;22;15
VŠ MÚZICKÝCH UMENÍ;VŠMU - rektorát;verejná;2012;5;2;5;1
VŠ VÝTVARNÝCH UMENÍ;Fa výtvar. umení VŠVU;verejná;2012;102;6;29;3
AKADÉMIA UMENÍ;Fa dramat. umení AU;verejná;2012;34;9;7;3
AKADÉMIA UMENÍ;Fa múzických umení AU;verejná;2012;40;8;18;3
AKADÉMIA UMENÍ;Fa výtvarných umení AU;verejná;2012;31;3;6;1
UNIVERZITA KOMENSKÉHO;UK - rektorát;verejná;2012;0;3;0;2
AKADÉMIA MÉDIÍ;Fa médií (fikt.);súkromná;2012;6;11;0;3
BRATISLAVSKÁ MEDZ.ŠKOLA;Fa liberálnych štúdií;súkromná;2012;5;7;1;2
VŠ V SLÁDKOVIČOVE;VŠS - rektorát;súkromná;2012;8;4;5;3
VŠ V SLÁDKOVIČOVE;Fa verejnej politiky;súkromná;2012;14;14;7;2
VŠ V SLÁDKOVIČOVE;Fa práva J.Jesenského;súkromná;2012;51;17;16;7
VŠ V SLÁDKOVIČOVE;Fa sociálnych štúdií;súkromná;2012;19;32;11;15
PANEURÓPSKA VŠ;Fa informatiky PEVŠ;súkromná;2012;8;12;0;4
PANEURÓPSKA VŠ;Fa ekon. a podnikania;súkromná;2012;25;0;12;0
PANEURÓPSKA VŠ;Fa práva PEVŠ;súkromná;2012;50;6;17;2
PANEURÓPSKA VŠ;Fa masmédií PEVŠ;súkromná;2012;19;0;5;0
PANEURÓPSKA VŠ;Fa psychológie PEVŠ;súkromná;2012;8;0;6;0
VŠZaSP sv.ALŽBETY;Fa zdravotníctva (fikt);súkromná;2012;358;0;174;0
DUBNICKÝ TECHN.INŚTITÚT;Elektrotechnická fak.;súkromná;2012;95;8;43;1
VŠ GOETHE UNI;Fa medzin. podnikania;súkromná;2012;2;10;0;3
VŠ GOETHE UNI;Fa cestovného ruchu;súkromná;2012;2;11;0;4
VŠ GOETHE UNI;Fa med. a kult. štúdií;súkromná;2012;2;11;0;5
VŠ EKON. a MANAŽMENTU;F ek.a manaž.ver.správy;súkromná;2012;78;2;42;2
VŠ MANAŽMENTU;Fa manažmentu VŠM;súkromná;2012;54;15;23;6
STREDOEURÓPSKA VŠ;Ekonomická fakulta SEVŠ;súkromná;2012;44;1;16;0
VŠ MEDZIN.PODNIKANIA;Ekonomická fakulta ISM;súkromná;2012;38;1;22;1
HUDOBNÁ A UMELECKÁ AKAD;Fa hudobných umení;súkromná;2012;8;0;1;0
VŠ BEZPEČN. MANAŽÉRSTVA;FA bezpečn. manažérstva;súkromná;2012;80;0;30;0
SLOV.ZDRAVOTNÍCKA UNIV.;Fa ošetr.,zdrav.odb.štú;štátna;2012;35;16;33;11
SLOV.ZDRAVOTNÍCKA UNIV.;Lekárska fakulta;štátna;2012;169;186;97;76
SLOV.ZDRAVOTNÍCKA UNIV.;Fa verejného zdravotn.;štátna;2012;27;8;17;5
SLOV.ZDRAVOTNÍCKA UNIV.;Fa zdravotníctva;štátna;2012;16;7;10;2
AKADÉMIA OZBROJ.SÍL;Vojenská fakulta AOS;štátna;2012;67;0;10;0
AKADÉMIA POLIC.ZBORU;Fa Polic.zboru (fikt.);štátna;2012;85;2;36;0
UNIVERZITA KOMENSKÉHO;Rímskokat.bohosl.fak.UK;verejná;2013;31;57;3;8
UNIVERZITA KOMENSKÉHO;Evanj. bohosl. fak. UK;verejná;2013;13;2;4;1
UNIVERZITA KOMENSKÉHO;Fa matem.fyz. a inf. UK;verejná;2013;181;13;48;2
UNIVERZITA KOMENSKÉHO;Prírodovedecká fak. UK;verejná;2013;256;40;106;17
UNIVERZITA KOMENSKÉHO;Fakulta managementu UK;verejná;2013;78;37;46;12
UNIVERZITA KOMENSKÉHO;Lekárska fakulta UK;verejná;2013;438;120;220;42
UNIVERZITA KOMENSKÉHO;Jesseniova lek. fak. UK;verejná;2013;168;32;84;20
UNIVERZITA KOMENSKÉHO;Farmaceutická fak. UK;verejná;2013;118;9;76;5
UNIVERZITA KOMENSKÉHO;Právnická fakulta UK;verejná;2013;91;36;37;13
