univerzita;fakulta;typ;rok;spolu full-time;spolu part-time;ženy full-time;ženy part-time
SLOV.TECHN. UNIVERZITA;Fa informatiky a IT STU;verejná;2009;34;19;12;4
SLOV.TECHN. UNIVERZITA;Strojnícka fakulta  STU;verejná;2009;117;13;31;2
SLOV.TECHN. UNIVERZITA;Materiálovotech.fak.STU;verejná;2009;195;30;76;4
SLOV.TECHN. UNIVERZITA;Stavebná fakulta  STU;verejná;2009;225;45;98;10
SLOV.TECHN. UNIVERZITA;Fa elektr. a inf. STU;verejná;2009;204;29;44;5
SLOV.TECHN. UNIVERZITA;F chem.potrav.techn.STU;verejná;2009;165;15;50;5
SLOV.TECHN. UNIVERZITA;Fa architektúry STU;verejná;2009;98;33;48;8
SLOV.TECHN. UNIVERZITA;STU - rektorát;verejná;2009;34;2;18;0
TECH. UNIVERZITA KOŠICE;Fa výrob.technológií TU;verejná;2009;72;0;18;0
TECH. UNIVERZITA KOŠICE;Fa baníctva,ekol., TU;verejná;2009;121;4;39;0
TECH. UNIVERZITA KOŠICE;Hutnícka fakulta  TU;verejná;2009;84;1;34;0
TECH. UNIVERZITA KOŠICE;Strojnícka fakulta  TU;verejná;2009;155;16;49;6
TECH. UNIVERZITA KOŠICE;Stavebná fakulta  TU;verejná;2009;49;20;24;10
TECH. UNIVERZITA KOŠICE;Fa elektr. a infor. TU;verejná;2009;161;8;39;0
TECH. UNIVERZITA KOŠICE;TU K - rektorát;verejná;2009;54;0;39;0
TECH. UNIVERZITA KOŠICE;Ekonomická fakulta  TU;verejná;2009;48;2;26;0
TECH. UNIVERZITA KOŠICE;Fa umení TU;verejná;2009;38;9;5;4
TECH. UNIVERZITA KOŠICE;Letecká fakulta TU;verejná;2009;73;0;9;0
ŽILINSKÁ UNIVERZITA;Fa prírodných vied ŽU;verejná;2009;104;6;63;3
ŽILINSKÁ UNIVERZITA;Strojnícka fakulta  ŽU;verejná;2009;93;6;32;2
ŽILINSKÁ UNIVERZITA;Stavebná fakulta  ŽU;verejná;2009;61;6;22;1
ŽILINSKÁ UNIVERZITA;Elektrotechn. fak.  ŽU;verejná;2009;104;12;18;1
ŽILINSKÁ UNIVERZITA;ŽU - rektorát;verejná;2009;20;0;4;0
ŽILINSKÁ UNIVERZITA;Fakulta PEDAS  ŽU;verejná;2009;124;5;55;1
ŽILINSKÁ UNIVERZITA;Fa riadenia a inf. ŽU;verejná;2009;99;4;28;0
ŽILINSKÁ UNIVERZITA;Fa špeciálneho inž. ŽU;verejná;2009;46;2;14;1
TRENČIANSKA UNIVERZITA;Fa špec. techniky TnUAD;verejná;2009;30;0;8;0
TRENČIANSKA UNIVERZITA;Fa mechatroniky TnUAD;verejná;2009;49;1;10;1
TRENČIANSKA UNIVERZITA;Fa priem.technol.TnUAD;verejná;2009;32;9;17;4
TRENČIANSKA UNIVERZITA;TnUAD - rektorát;verejná;2009;11;0;5;0
TRENČIANSKA UNIVERZITA;Fa soc.-ekon.vzť. TnUAD;verejná;2009;99;9;50;3
TRENČIANSKA UNIVERZITA;Fa zdravotníctva TnUAD;verejná;2009;21;6;14;1
EKONOMICKÁ UNIVERZITA;Fa podn. manažmentu EU;verejná;2009;100;19;56;11
EKONOMICKÁ UNIVERZITA;Obchodná fakulta  EU;verejná;2009;99;13;60;7
EKONOMICKÁ UNIVERZITA;Fa hosp. informatiky EU;verejná;2009;98;26;61;11
EKONOMICKÁ UNIVERZITA;Podnikovohosp. fak. EU;verejná;2009;55;23;36;7
EKONOMICKÁ UNIVERZITA;Národohosp. fakulta  EU;verejná;2009;101;41;68;14
EKONOMICKÁ UNIVERZITA;EU - rektorát;verejná;2009;80;15;60;6
EKONOMICKÁ UNIVERZITA;Fa medzin. vzťahov EU;verejná;2009;32;3;15;3
SLOV. POĽNOHOSP. UNIV.;Fa biotechn. a potr.SPU;verejná;2009;55;8;29;1
