univerzita;fakulta;typ;rok;typ učiteľa;úväzok;DrSc.;CSc., PhD.;iný/žiadny titul;spolu
UNIVERZITA KOMENSKÉHO;Rímskokat.bohosl.fak.UK;verejná;2009;profesor;full-time;0;1;0;1
UNIVERZITA KOMENSKÉHO;Evanj. bohosl. fak. UK;verejná;2009;profesor;full-time;0;2;0;2
UNIVERZITA KOMENSKÉHO;UK - rektorát;verejná;2009;profesor;full-time;0;0;0;0
UNIVERZITA KOMENSKÉHO;Fa matem.fyz. a inf. UK;verejná;2009;profesor;full-time;21;25;0;46
UNIVERZITA KOMENSKÉHO;Prírodovedecká fak. UK;verejná;2009;profesor;full-time;20;18;0;38
UNIVERZITA KOMENSKÉHO;Fakulta managementu UK;verejná;2009;profesor;full-time;1;11;0;12
UNIVERZITA KOMENSKÉHO;Lekárska fakulta UK;verejná;2009;profesor;full-time;8;38;0;46
UNIVERZITA KOMENSKÉHO;Jesseniova lek. fak. UK;verejná;2009;profesor;full-time;3;24;0;27
UNIVERZITA KOMENSKÉHO;Farmaceutická fak. UK;verejná;2009;profesor;full-time;5;11;0;16
UNIVERZITA KOMENSKÉHO;Právnická fakulta UK;verejná;2009;profesor;full-time;0;6;0;6
UNIVERZITA KOMENSKÉHO;Filozofická fakulta UK;verejná;2009;profesor;full-time;2;32;0;34
UNIVERZITA KOMENSKÉHO;Fa soc.a ekonom.vied UK;verejná;2009;profesor;full-time;1;4;0;5
UNIVERZITA KOMENSKÉHO;Pedagogická fakulta UK;verejná;2009;profesor;full-time;0;31;0;31
UNIVERZITA KOMENSKÉHO;Fakulta TV a športu UK;verejná;2009;profesor;full-time;0;4;0;4
UNIVERZITA P.J.ŠAFÁRIKA;UPJŠ - rektorát;verejná;2009;profesor;full-time;0;1;0;1
UNIVERZITA P.J.ŠAFÁRIKA;Prírodovedecká fak.UPJŠ;verejná;2009;profesor;full-time;12;16;0;28
UNIVERZITA P.J.ŠAFÁRIKA;Fa verejnej správy UPJŠ;verejná;2009;profesor;full-time;0;2;0;2
UNIVERZITA P.J.ŠAFÁRIKA;Lekárska fakulta  UPJŠ;verejná;2009;profesor;full-time;4;42;0;46
UNIVERZITA P.J.ŠAFÁRIKA;Právnická fakulta UPJŠ;verejná;2009;profesor;full-time;1;7;0;8
UNIVERZITA P.J.ŠAFÁRIKA;Filozofická fak. UPJŠ;verejná;2009;profesor;full-time;5;12;0;17
PREŠOVSKÁ UNIVERZITA;Gréckokat.teol. fak. PU;verejná;2009;profesor;full-time;0;4;0;4
PREŠOVSKÁ UNIVERZITA;Pravosláv. boh. fak. PU;verejná;2009;profesor;full-time;0;4;0;4
PREŠOVSKÁ UNIVERZITA;PU - rektorát;verejná;2009;profesor;full-time;0;0;0;0
PREŠOVSKÁ UNIVERZITA;Fakulta manažmentu PU;verejná;2009;profesor;full-time;0;3;0;3
PREŠOVSKÁ UNIVERZITA;Fa zdravotníctva PU;verejná;2009;profesor;full-time;1;2;0;3
PREŠOVSKÁ UNIVERZITA;Filozofická fakulta  PU;verejná;2009;profesor;full-time;0;20;0;20
PREŠOVSKÁ UNIVERZITA;Fa hum. a prír.vied PU;verejná;2009;profesor;full-time;0;7;0;7
PREŠOVSKÁ UNIVERZITA;Pedagogická fakulta PU;verejná;2009;profesor;full-time;0;5;0;5
PREŠOVSKÁ UNIVERZITA;Fakulta športu PU;verejná;2009;profesor;full-time;0;2;0;2
UNIV.sv.CYRILA a METODA;UCaM - rektorát;verejná;2009;profesor;full-time;0;1;0;1
UNIV.sv.CYRILA a METODA;Fa prírodných vied UCM;verejná;2009;profesor;full-time;4;1;0;5
UNIV.sv.CYRILA a METODA;Filozofická fakulta UCM;verejná;2009;profesor;full-time;6;20;0;26
UNIV.sv.CYRILA a METODA;Fa masmed. komunik. UCM;verejná;2009;profesor;full-time;1;9;2;12
KATOLÍCKA UNIVERZITA;Teologická fakulta KU;verejná;2009;profesor;full-time;0;9;0;9
KATOLÍCKA UNIVERZITA;Fa zdravotníctva KU;verejná;2009;profesor;full-time;0;3;0;3
KATOLÍCKA UNIVERZITA;Filozofická fakulta KU;verejná;2009;profesor;full-time;0;11;0;11
KATOLÍCKA UNIVERZITA;Pedagogická fakulta KU;verejná;2009;profesor;full-time;1;36;1;38
UNIVERZITA J.SELYEHO;Reform.teolog. fak. UJS;verejná;2009;profesor;full-time;0;2;1;3
UNIVERZITA J.SELYEHO;Ekonomická fakulta UJS;verejná;2009;profesor;full-time;2;1;0;3
UNIVERZITA J.SELYEHO;Pedagogická fakulta UJS;verejná;2009;profesor;full-time;6;5;0;11
UNIVERZITA VETERIN.LEK.;Fa veter. lekár.(fikt.);verejná;2009;profesor;full-time;3;17;0;20
UNIVER. KONŠT. FILOZOFA;Fa prírodných vied UKF;verejná;2009;profesor;full-time;5;15;0;20
UNIVER. KONŠT. FILOZOFA;Fa stredoeur.štúdií UKF;verejná;2009;profesor;full-time;4;3;0;7
UNIVER. KONŠT. FILOZOFA;Filozofická fakulta UKF;verejná;2009;profesor;full-time;2;30;1;33
UNIVER. KONŠT. FILOZOFA;Fa sociálnych vied UKF;verejná;2009;profesor;full-time;2;5;1;8
UNIVER. KONŠT. FILOZOFA;Pedagogická fakulta UKF;verejná;2009;profesor;full-time;2;9;1;12
UNIVERZITA MATEJA BELA;Fa prírodných vied UMB;verejná;2009;profesor;full-time;3;12;0;15
UNIVERZITA MATEJA BELA;Ekonomická fakulta  UMB;verejná;2009;profesor;full-time;0;16;0;16
UNIVERZITA MATEJA BELA;Právnická fakulta UMB;verejná;2009;profesor;full-time;1;4;1;6
UNIVERZITA MATEJA BELA;Fa politických vied UMB;verejná;2009;profesor;full-time;0;6;0;6
UNIVERZITA MATEJA BELA;Fa humanit. vied UMB;verejná;2009;profesor;full-time;4;21;1;26
UNIVERZITA MATEJA BELA;Pedagogická fakulta UMB;verejná;2009;profesor;full-time;0;14;1;15
TRNAVSKÁ UNIVERZITA;Teologická fakulta  TTU;verejná;2009;profesor;full-time;0;4;0;4
TRNAVSKÁ UNIVERZITA;F zdrav.a soc.práce TTU;verejná;2009;profesor;full-time;1;12;0;13
TRNAVSKÁ UNIVERZITA;Právnická fakulta TTU;verejná;2009;profesor;full-time;1;9;0;10
TRNAVSKÁ UNIVERZITA;Filozofická fakulta TTU;verejná;2009;profesor;full-time;2;6;0;8
TRNAVSKÁ UNIVERZITA;Pedagogická fakulta TTU;verejná;2009;profesor;full-time;1;12;0;13
SLOV.TECHN. UNIVERZITA;Fa informatiky a IT STU;verejná;2009;profesor;full-time;3;3;0;6
SLOV.TECHN. UNIVERZITA;Strojnícka fakulta  STU;verejná;2009;profesor;full-time;3;19;0;22
SLOV.TECHN. UNIVERZITA;Materiálovotech.fak.STU;verejná;2009;profesor;full-time;3;15;0;18
SLOV.TECHN. UNIVERZITA;Stavebná fakulta  STU;verejná;2009;profesor;full-time;6;23;1;30
SLOV.TECHN. UNIVERZITA;Fa elektr. a inf. STU;verejná;2009;profesor;full-time;7;25;0;32
SLOV.TECHN. UNIVERZITA;F chem.potrav.techn.STU;verejná;2009;profesor;full-time;21;5;0;26
SLOV.TECHN. UNIVERZITA;Fa architektúry STU;verejná;2009;profesor;full-time;1;10;2;13
SLOV.TECHN. UNIVERZITA;STU - rektorát;verejná;2009;profesor;full-time;0;2;0;2
TECH. UNIVERZITA KOŠICE;Fa výrob.technológií TU;verejná;2009;profesor;full-time;1;8;0;9
TECH. UNIVERZITA KOŠICE;Fa baníctva,ekol., TU;verejná;2009;profesor;full-time;0;17;0;17
TECH. UNIVERZITA KOŠICE;Hutnícka fakulta  TU;verejná;2009;profesor;full-time;2;12;0;14
TECH. UNIVERZITA KOŠICE;Strojnícka fakulta  TU;verejná;2009;profesor;full-time;2;21;0;23
TECH. UNIVERZITA KOŠICE;Stavebná fakulta  TU;verejná;2009;profesor;full-time;1;5;0;6
TECH. UNIVERZITA KOŠICE;Fa elektr. a infor. TU;verejná;2009;profesor;full-time;4;28;0;32
TECH. UNIVERZITA KOŠICE;TU K - rektorát;verejná;2009;profesor;full-time;0;0;0;0
TECH. UNIVERZITA KOŠICE;Ekonomická fakulta  TU;verejná;2009;profesor;full-time;1;4;0;5
TECH. UNIVERZITA KOŠICE;Fa umení TU;verejná;2009;profesor;full-time;0;5;0;5
TECH. UNIVERZITA KOŠICE;Letecká fakulta TU;verejná;2009;profesor;full-time;2;11;0;13
ŽILINSKÁ UNIVERZITA;Fa prírodných vied ŽU;verejná;2009;profesor;full-time;2;11;0;13
ŽILINSKÁ UNIVERZITA;Strojnícka fakulta  ŽU;verejná;2009;profesor;full-time;0;23;0;23
ŽILINSKÁ UNIVERZITA;Stavebná fakulta  ŽU;verejná;2009;profesor;full-time;1;6;0;7
ŽILINSKÁ UNIVERZITA;Elektrotechn. fak.  ŽU;verejná;2009;profesor;full-time;0;15;0;15
ŽILINSKÁ UNIVERZITA;ŽU - rektorát;verejná;2009;profesor;full-time;0;1;0;1
ŽILINSKÁ UNIVERZITA;Fakulta PEDAS  ŽU;verejná;2009;profesor;full-time;0;14;0;14
ŽILINSKÁ UNIVERZITA;Fa riadenia a inf. ŽU;verejná;2009;profesor;full-time;0;10;0;10
ŽILINSKÁ UNIVERZITA;Fa špeciálneho inž. ŽU;verejná;2009;profesor;full-time;0;4;0;4
TRENČIANSKA UNIVERZITA;Fa špec. techniky TnUAD;verejná;2009;profesor;full-time;1;4;0;5
TRENČIANSKA UNIVERZITA;Fa mechatroniky TnUAD;verejná;2009;profesor;full-time;4;7;0;11
TRENČIANSKA UNIVERZITA;Fa priem.technol.TnUAD;verejná;2009;profesor;full-time;0;3;0;3
TRENČIANSKA UNIVERZITA;TnUAD - rektorát;verejná;2009;profesor;full-time;1;1;0;2
TRENČIANSKA UNIVERZITA;Fa soc.-ekon.vzť. TnUAD;verejná;2009;profesor;full-time;1;6;0;7
TRENČIANSKA UNIVERZITA;Fa zdravotníctva TnUAD;verejná;2009;profesor;full-time;0;2;0;2
EKONOMICKÁ UNIVERZITA;Fa podn. manažmentu EU;verejná;2009;profesor;full-time;1;11;0;12
EKONOMICKÁ UNIVERZITA;Obchodná fakulta  EU;verejná;2009;profesor;full-time;0;11;0;11
EKONOMICKÁ UNIVERZITA;Fa hosp. informatiky EU;verejná;2009;profesor;full-time;0;14;0;14
EKONOMICKÁ UNIVERZITA;Podnikovohosp. fak. EU;verejná;2009;profesor;full-time;0;7;0;7
EKONOMICKÁ UNIVERZITA;Národohosp. fakulta  EU;verejná;2009;profesor;full-time;1;13;0;14
EKONOMICKÁ UNIVERZITA;EU - rektorát;verejná;2009;profesor;full-time;0;3;0;3
EKONOMICKÁ UNIVERZITA;Fa medzin. vzťahov EU;verejná;2009;profesor;full-time;0;5;0;5
SLOV. POĽNOHOSP. UNIV.;Fa biotechn. a potr.SPU;verejná;2009;profesor;full-time;1;8;0;9
SLOV. POĽNOHOSP. UNIV.;Fa ekonom. a manažm.SPU;verejná;2009;profesor;full-time;0;4;0;4
SLOV. POĽNOHOSP. UNIV.;Fa agrobiol.,potr.zdr.;verejná;2009;profesor;full-time;0;13;0;13
SLOV. POĽNOHOSP. UNIV.;Technická fakulta SPU;verejná;2009;profesor;full-time;0;9;0;9
SLOV. POĽNOHOSP. UNIV.;Fa záhrad. a kraj. inž.;verejná;2009;profesor;full-time;3;3;0;6
SLOV. POĽNOHOSP. UNIV.;F eur.štúdií a reg.rozv;verejná;2009;profesor;full-time;0;7;0;7
TECH. UNIVERZITA ZVOLEN;Fa envir. a výr.tech.TU;verejná;2009;profesor;full-time;1;4;0;5
TECH. UNIVERZITA ZVOLEN;Lesnícka fakulta  TU;verejná;2009;profesor;full-time;2;13;0;15
TECH. UNIVERZITA ZVOLEN;Drevárska fakulta  TU;verejná;2009;profesor;full-time;0;16;0;16
TECH. UNIVERZITA ZVOLEN;Fa ekológie a envir.TU;verejná;2009;profesor;full-time;1;2;0;3
TECH. UNIVERZITA ZVOLEN;TU Z - rektorát;verejná;2009;profesor;full-time;0;0;0;0
VŠ MÚZICKÝCH UMENÍ;Film. a telev. fak.VŠMU;verejná;2009;profesor;full-time;0;4;3;7
VŠ MÚZICKÝCH UMENÍ;Divadelná fakulta VŠMU;verejná;2009;profesor;full-time;0;2;6;8
VŠ MÚZICKÝCH UMENÍ;Hud.a tanečná fak. VŠMU;verejná;2009;profesor;full-time;0;10;6;16
VŠ MÚZICKÝCH UMENÍ;VŠMU - rektorát;verejná;2009;profesor;full-time;0;0;0;0
VŠ VÝTVARNÝCH UMENÍ;Fa výtvar. umení VŠVU;verejná;2009;profesor;full-time;0;0;14;14
AKADÉMIA UMENÍ;Fa dramat. umení AU;verejná;2009;profesor;full-time;0;3;8;11
AKADÉMIA UMENÍ;Fa múzických umení AU;verejná;2009;profesor;full-time;1;5;7;13
AKADÉMIA UMENÍ;Fa výtvarných umení AU;verejná;2009;profesor;full-time;0;0;7;7
UNIVERZITA KOMENSKÉHO;Rímskokat.bohosl.fak.UK;verejná;2009;docent;full-time;0;3;0;3
UNIVERZITA KOMENSKÉHO;Evanj. bohosl. fak. UK;verejná;2009;docent;full-time;0;2;1;3
UNIVERZITA KOMENSKÉHO;UK - rektorát;verejná;2009;docent;full-time;0;0;0;0
UNIVERZITA KOMENSKÉHO;Fa matem.fyz. a inf. UK;verejná;2009;docent;full-time;3;37;0;40
UNIVERZITA KOMENSKÉHO;Prírodovedecká fak. UK;verejná;2009;docent;full-time;2;73;0;75
UNIVERZITA KOMENSKÉHO;Fakulta managementu UK;verejná;2009;docent;full-time;0;5;1;6
UNIVERZITA KOMENSKÉHO;Lekárska fakulta UK;verejná;2009;docent;full-time;0;82;0;82
UNIVERZITA KOMENSKÉHO;Jesseniova lek. fak. UK;verejná;2009;docent;full-time;0;27;0;27
UNIVERZITA KOMENSKÉHO;Farmaceutická fak. UK;verejná;2009;docent;full-time;0;23;1;24
UNIVERZITA KOMENSKÉHO;Právnická fakulta UK;verejná;2009;docent;full-time;0;21;0;21
UNIVERZITA KOMENSKÉHO;Filozofická fakulta UK;verejná;2009;docent;full-time;0;69;0;69
UNIVERZITA KOMENSKÉHO;Fa soc.a ekonom.vied UK;verejná;2009;docent;full-time;0;7;0;7
UNIVERZITA KOMENSKÉHO;Pedagogická fakulta UK;verejná;2009;docent;full-time;0;11;1;12
UNIVERZITA KOMENSKÉHO;Fakulta TV a športu UK;verejná;2009;docent;full-time;0;19;0;19
UNIVERZITA P.J.ŠAFÁRIKA;UPJŠ - rektorát;verejná;2009;docent;full-time;0;4;0;4
UNIVERZITA P.J.ŠAFÁRIKA;Prírodovedecká fak.UPJŠ;verejná;2009;docent;full-time;0;43;0;43
UNIVERZITA P.J.ŠAFÁRIKA;Fa verejnej správy UPJŠ;verejná;2009;docent;full-time;0;3;0;3
UNIVERZITA P.J.ŠAFÁRIKA;Lekárska fakulta  UPJŠ;verejná;2009;docent;full-time;0;31;0;31
UNIVERZITA P.J.ŠAFÁRIKA;Právnická fakulta UPJŠ;verejná;2009;docent;full-time;0;11;0;11
UNIVERZITA P.J.ŠAFÁRIKA;Filozofická fak. UPJŠ;verejná;2009;docent;full-time;1;13;0;14
PREŠOVSKÁ UNIVERZITA;Gréckokat.teol. fak. PU;verejná;2009;docent;full-time;0;3;0;3
PREŠOVSKÁ UNIVERZITA;Pravosláv. boh. fak. PU;verejná;2009;docent;full-time;0;4;0;4
PREŠOVSKÁ UNIVERZITA;PU - rektorát;verejná;2009;docent;full-time;0;0;0;0
PREŠOVSKÁ UNIVERZITA;Fakulta manažmentu PU;verejná;2009;docent;full-time;0;5;0;5
PREŠOVSKÁ UNIVERZITA;Fa zdravotníctva PU;verejná;2009;docent;full-time;0;6;0;6
PREŠOVSKÁ UNIVERZITA;Filozofická fakulta  PU;verejná;2009;docent;full-time;0;32;0;32
PREŠOVSKÁ UNIVERZITA;Fa hum. a prír.vied PU;verejná;2009;docent;full-time;1;27;0;28
PREŠOVSKÁ UNIVERZITA;Pedagogická fakulta PU;verejná;2009;docent;full-time;0;10;0;10
PREŠOVSKÁ UNIVERZITA;Fakulta športu PU;verejná;2009;docent;full-time;0;4;0;4
UNIV.sv.CYRILA a METODA;UCaM - rektorát;verejná;2009;docent;full-time;0;1;0;1
UNIV.sv.CYRILA a METODA;Fa prírodných vied UCM;verejná;2009;docent;full-time;0;10;0;10
UNIV.sv.CYRILA a METODA;Filozofická fakulta UCM;verejná;2009;docent;full-time;0;18;0;18
UNIV.sv.CYRILA a METODA;Fa masmed. komunik. UCM;verejná;2009;docent;full-time;1;6;0;7
KATOLÍCKA UNIVERZITA;Teologická fakulta KU;verejná;2009;docent;full-time;0;11;0;11
KATOLÍCKA UNIVERZITA;Fa zdravotníctva KU;verejná;2009;docent;full-time;0;11;0;11
KATOLÍCKA UNIVERZITA;Filozofická fakulta KU;verejná;2009;docent;full-time;0;10;0;10
KATOLÍCKA UNIVERZITA;Pedagogická fakulta KU;verejná;2009;docent;full-time;1;39;2;42
UNIVERZITA J.SELYEHO;Reform.teolog. fak. UJS;verejná;2009;docent;full-time;0;2;0;2
UNIVERZITA J.SELYEHO;Ekonomická fakulta UJS;verejná;2009;docent;full-time;0;0;0;0
UNIVERZITA J.SELYEHO;Pedagogická fakulta UJS;verejná;2009;docent;full-time;0;6;0;6
UNIVERZITA VETERIN.LEK.;Fa veter. lekár.(fikt.);verejná;2009;docent;full-time;0;41;0;41
UNIVER. KONŠT. FILOZOFA;Fa prírodných vied UKF;verejná;2009;docent;full-time;0;24;0;24
UNIVER. KONŠT. FILOZOFA;Fa stredoeur.štúdií UKF;verejná;2009;docent;full-time;0;3;0;3
UNIVER. KONŠT. FILOZOFA;Filozofická fakulta UKF;verejná;2009;docent;full-time;0;32;0;32
UNIVER. KONŠT. FILOZOFA;Fa sociálnych vied UKF;verejná;2009;docent;full-time;1;13;0;14
UNIVER. KONŠT. FILOZOFA;Pedagogická fakulta UKF;verejná;2009;docent;full-time;0;20;3;23
UNIVERZITA MATEJA BELA;Fa prírodných vied UMB;verejná;2009;docent;full-time;1;19;0;20
UNIVERZITA MATEJA BELA;Ekonomická fakulta  UMB;verejná;2009;docent;full-time;0;31;0;31
UNIVERZITA MATEJA BELA;Právnická fakulta UMB;verejná;2009;docent;full-time;0;5;0;5
UNIVERZITA MATEJA BELA;Fa politických vied UMB;verejná;2009;docent;full-time;0;10;0;10
UNIVERZITA MATEJA BELA;Fa humanit. vied UMB;verejná;2009;docent;full-time;0;26;0;26
UNIVERZITA MATEJA BELA;Pedagogická fakulta UMB;verejná;2009;docent;full-time;0;19;3;22
TRNAVSKÁ UNIVERZITA;Teologická fakulta  TTU;verejná;2009;docent;full-time;0;5;0;5
TRNAVSKÁ UNIVERZITA;F zdrav.a soc.práce TTU;verejná;2009;docent;full-time;0;23;0;23
TRNAVSKÁ UNIVERZITA;Právnická fakulta TTU;verejná;2009;docent;full-time;0;3;0;3
TRNAVSKÁ UNIVERZITA;Filozofická fakulta TTU;verejná;2009;docent;full-time;0;15;0;15
TRNAVSKÁ UNIVERZITA;Pedagogická fakulta TTU;verejná;2009;docent;full-time;0;11;3;14
SLOV.TECHN. UNIVERZITA;Fa informatiky a IT STU;verejná;2009;docent;full-time;0;5;0;5
SLOV.TECHN. UNIVERZITA;Strojnícka fakulta  STU;verejná;2009;docent;full-time;0;28;0;28
SLOV.TECHN. UNIVERZITA;Materiálovotech.fak.STU;verejná;2009;docent;full-time;0;55;0;55
SLOV.TECHN. UNIVERZITA;Stavebná fakulta  STU;verejná;2009;docent;full-time;0;54;0;54
SLOV.TECHN. UNIVERZITA;Fa elektr. a inf. STU;verejná;2009;docent;full-time;1;67;0;68
SLOV.TECHN. UNIVERZITA;F chem.potrav.techn.STU;verejná;2009;docent;full-time;2;71;0;73
SLOV.TECHN. UNIVERZITA;Fa architektúry STU;verejná;2009;docent;full-time;0;17;3;20
SLOV.TECHN. UNIVERZITA;STU - rektorát;verejná;2009;docent;full-time;0;11;0;11
TECH. UNIVERZITA KOŠICE;Fa výrob.technológií TU;verejná;2009;docent;full-time;0;18;0;18
TECH. UNIVERZITA KOŠICE;Fa baníctva,ekol., TU;verejná;2009;docent;full-time;0;30;0;30
TECH. UNIVERZITA KOŠICE;Hutnícka fakulta  TU;verejná;2009;docent;full-time;0;35;0;35
TECH. UNIVERZITA KOŠICE;Strojnícka fakulta  TU;verejná;2009;docent;full-time;0;27;0;27
TECH. UNIVERZITA KOŠICE;Stavebná fakulta  TU;verejná;2009;docent;full-time;0;16;0;16
TECH. UNIVERZITA KOŠICE;Fa elektr. a infor. TU;verejná;2009;docent;full-time;1;38;0;39
TECH. UNIVERZITA KOŠICE;TU K - rektorát;verejná;2009;docent;full-time;0;1;0;1
TECH. UNIVERZITA KOŠICE;Ekonomická fakulta  TU;verejná;2009;docent;full-time;0;9;0;9
TECH. UNIVERZITA KOŠICE;Fa umení TU;verejná;2009;docent;full-time;0;10;0;10
TECH. UNIVERZITA KOŠICE;Letecká fakulta TU;verejná;2009;docent;full-time;0;7;0;7
ŽILINSKÁ UNIVERZITA;Fa prírodných vied ŽU;verejná;2009;docent;full-time;0;12;0;12
ŽILINSKÁ UNIVERZITA;Strojnícka fakulta  ŽU;verejná;2009;docent;full-time;0;32;0;32
ŽILINSKÁ UNIVERZITA;Stavebná fakulta  ŽU;verejná;2009;docent;full-time;0;11;0;11
ŽILINSKÁ UNIVERZITA;Elektrotechn. fak.  ŽU;verejná;2009;docent;full-time;0;31;0;31
ŽILINSKÁ UNIVERZITA;ŽU - rektorát;verejná;2009;docent;full-time;0;1;0;1
ŽILINSKÁ UNIVERZITA;Fakulta PEDAS  ŽU;verejná;2009;docent;full-time;0;26;0;26
ŽILINSKÁ UNIVERZITA;Fa riadenia a inf. ŽU;verejná;2009;docent;full-time;0;14;0;14
ŽILINSKÁ UNIVERZITA;Fa špeciálneho inž. ŽU;verejná;2009;docent;full-time;0;9;0;9
TRENČIANSKA UNIVERZITA;Fa špec. techniky TnUAD;verejná;2009;docent;full-time;0;3;0;3
TRENČIANSKA UNIVERZITA;Fa mechatroniky TnUAD;verejná;2009;docent;full-time;0;6;0;6
TRENČIANSKA UNIVERZITA;Fa priem.technol.TnUAD;verejná;2009;docent;full-time;0;7;0;7
TRENČIANSKA UNIVERZITA;TnUAD - rektorát;verejná;2009;docent;full-time;0;2;0;2
TRENČIANSKA UNIVERZITA;Fa soc.-ekon.vzť. TnUAD;verejná;2009;docent;full-time;0;9;0;9
TRENČIANSKA UNIVERZITA;Fa zdravotníctva TnUAD;verejná;2009;docent;full-time;0;4;0;4
EKONOMICKÁ UNIVERZITA;Fa podn. manažmentu EU;verejná;2009;docent;full-time;0;23;0;23
EKONOMICKÁ UNIVERZITA;Obchodná fakulta  EU;verejná;2009;docent;full-time;0;17;0;17
EKONOMICKÁ UNIVERZITA;Fa hosp. informatiky EU;verejná;2009;docent;full-time;0;13;0;13
EKONOMICKÁ UNIVERZITA;Podnikovohosp. fak. EU;verejná;2009;docent;full-time;0;7;0;7
EKONOMICKÁ UNIVERZITA;Národohosp. fakulta  EU;verejná;2009;docent;full-time;0;26;0;26
EKONOMICKÁ UNIVERZITA;EU - rektorát;verejná;2009;docent;full-time;0;5;0;5
EKONOMICKÁ UNIVERZITA;Fa medzin. vzťahov EU;verejná;2009;docent;full-time;0;5;0;5
SLOV. POĽNOHOSP. UNIV.;Fa biotechn. a potr.SPU;verejná;2009;docent;full-time;0;13;0;13
SLOV. POĽNOHOSP. UNIV.;Fa ekonom. a manažm.SPU;verejná;2009;docent;full-time;0;27;0;27
SLOV. POĽNOHOSP. UNIV.;Fa agrobiol.,potr.zdr.;verejná;2009;docent;full-time;0;30;0;30
SLOV. POĽNOHOSP. UNIV.;Technická fakulta SPU;verejná;2009;docent;full-time;0;24;0;24
SLOV. POĽNOHOSP. UNIV.;Fa záhrad. a kraj. inž.;verejná;2009;docent;full-time;0;11;0;11
SLOV. POĽNOHOSP. UNIV.;F eur.štúdií a reg.rozv;verejná;2009;docent;full-time;0;2;0;2
TECH. UNIVERZITA ZVOLEN;Fa envir. a výr.tech.TU;verejná;2009;docent;full-time;0;14;0;14
TECH. UNIVERZITA ZVOLEN;Lesnícka fakulta  TU;verejná;2009;docent;full-time;0;19;0;19
TECH. UNIVERZITA ZVOLEN;Drevárska fakulta  TU;verejná;2009;docent;full-time;0;24;0;24
TECH. UNIVERZITA ZVOLEN;Fa ekológie a envir.TU;verejná;2009;docent;full-time;0;10;0;10
TECH. UNIVERZITA ZVOLEN;TU Z - rektorát;verejná;2009;docent;full-time;0;0;0;0
VŠ MÚZICKÝCH UMENÍ;Film. a telev. fak.VŠMU;verejná;2009;docent;full-time;0;12;4;16
VŠ MÚZICKÝCH UMENÍ;Divadelná fakulta VŠMU;verejná;2009;docent;full-time;0;2;6;8
VŠ MÚZICKÝCH UMENÍ;Hud.a tanečná fak. VŠMU;verejná;2009;docent;full-time;0;13;6;19
VŠ MÚZICKÝCH UMENÍ;VŠMU - rektorát;verejná;2009;docent;full-time;0;1;0;1
VŠ VÝTVARNÝCH UMENÍ;Fa výtvar. umení VŠVU;verejná;2009;docent;full-time;0;4;10;14
AKADÉMIA UMENÍ;Fa dramat. umení AU;verejná;2009;docent;full-time;0;3;1;4
AKADÉMIA UMENÍ;Fa múzických umení AU;verejná;2009;docent;full-time;0;0;5;5
AKADÉMIA UMENÍ;Fa výtvarných umení AU;verejná;2009;docent;full-time;0;1;3;4
UNIVERZITA KOMENSKÉHO;Rímskokat.bohosl.fak.UK;verejná;2009;odborný asistent;full-time;0;13;5;18
UNIVERZITA KOMENSKÉHO;Evanj. bohosl. fak. UK;verejná;2009;odborný asistent;full-time;0;7;0;7
UNIVERZITA KOMENSKÉHO;UK - rektorát;verejná;2009;odborný asistent;full-time;0;0;1;1
UNIVERZITA KOMENSKÉHO;Fa matem.fyz. a inf. UK;verejná;2009;odborný asistent;full-time;0;75;27;102
UNIVERZITA KOMENSKÉHO;Prírodovedecká fak. UK;verejná;2009;odborný asistent;full-time;0;110;16;126
UNIVERZITA KOMENSKÉHO;Fakulta managementu UK;verejná;2009;odborný asistent;full-time;0;28;2;30
UNIVERZITA KOMENSKÉHO;Lekárska fakulta UK;verejná;2009;odborný asistent;full-time;0;153;86;239
UNIVERZITA KOMENSKÉHO;Jesseniova lek. fak. UK;verejná;2009;odborný asistent;full-time;0;82;25;107
UNIVERZITA KOMENSKÉHO;Farmaceutická fak. UK;verejná;2009;odborný asistent;full-time;0;45;26;71
UNIVERZITA KOMENSKÉHO;Právnická fakulta UK;verejná;2009;odborný asistent;full-time;0;36;11;47
UNIVERZITA KOMENSKÉHO;Filozofická fakulta UK;verejná;2009;odborný asistent;full-time;0;135;1;136
UNIVERZITA KOMENSKÉHO;Fa soc.a ekonom.vied UK;verejná;2009;odborný asistent;full-time;0;12;2;14
UNIVERZITA KOMENSKÉHO;Pedagogická fakulta UK;verejná;2009;odborný asistent;full-time;0;88;30;118
UNIVERZITA KOMENSKÉHO;Fakulta TV a športu UK;verejná;2009;odborný asistent;full-time;0;31;0;31
UNIVERZITA P.J.ŠAFÁRIKA;UPJŠ - rektorát;verejná;2009;odborný asistent;full-time;0;2;3;5
UNIVERZITA P.J.ŠAFÁRIKA;Prírodovedecká fak.UPJŠ;verejná;2009;odborný asistent;full-time;0;50;0;50
UNIVERZITA P.J.ŠAFÁRIKA;Fa verejnej správy UPJŠ;verejná;2009;odborný asistent;full-time;0;17;9;26
UNIVERZITA P.J.ŠAFÁRIKA;Lekárska fakulta  UPJŠ;verejná;2009;odborný asistent;full-time;0;103;39;142
UNIVERZITA P.J.ŠAFÁRIKA;Právnická fakulta UPJŠ;verejná;2009;odborný asistent;full-time;0;19;8;27
