univerzita;rok;typ učiteľa;úväzok;DrSc.;CSc., PhD.;iný/žiadny titul;spolu
EU;2009;docent;part-time;0;16;0;16
EU;2009;hosťujúci profesor;full-time;0;0;0;0
EU;2009;hosťujúci profesor;part-time;0;0;0;0
EU;2009;lektor;full-time;0;0;3;3
EU;2009;lektor;part-time;0;0;0;0
EU;2009;odborný asistent;full-time;0;242;146;388
EU;2009;odborný asistent;part-time;0;103;10;113
EU;2009;profesor;full-time;2;64;0;66
EU;2009;profesor;part-time;1;8;0;9
EU;2010;asistent;full-time;0;0;6;6
EU;2010;asistent;part-time;0;0;1;1
EU;2010;docent;full-time;0;107;0;107
EU;2010;docent;part-time;0;3;0;3
EU;2010;hosťujúci profesor;full-time;0;0;0;0
EU;2010;hosťujúci profesor;part-time;0;0;0;0
EU;2010;lektor;full-time;0;0;3;3
EU;2010;lektor;part-time;0;0;0;0
EU;2010;odborný asistent;full-time;0;314;115;429
EU;2010;odborný asistent;part-time;0;20;12;32
EU;2010;profesor;full-time;3;69;0;72
EU;2010;profesor;part-time;0;1;0;1
EU;2011;asistent;full-time;0;0;4;4
EU;2011;asistent;part-time;0;0;0;0
EU;2011;docent;full-time;0;95;0;95
EU;2011;docent;part-time;0;10;0;10
EU;2011;hosťujúci profesor;full-time;0;0;0;0
EU;2011;hosťujúci profesor;part-time;0;0;0;0
EU;2011;lektor;full-time;0;0;2;2
EU;2011;lektor;part-time;0;0;0;0
EU;2011;odborný asistent;full-time;0;336;77;413
EU;2011;odborný asistent;part-time;0;33;24;57
EU;2011;profesor;full-time;7;61;0;68
EU;2011;profesor;part-time;0;4;0;4
EU;2012;asistent;full-time;0;0;4;4
EU;2012;asistent;part-time;0;0;0;0
EU;2012;docent;full-time;1;97;0;98
EU;2012;docent;part-time;0;10;0;10
EU;2012;hosťujúci profesor;full-time;0;0;0;0
EU;2012;hosťujúci profesor;part-time;0;0;0;0
EU;2012;lektor;full-time;0;0;2;2
EU;2012;lektor;part-time;0;0;1;1
EU;2012;odborný asistent;full-time;0;348;73;421
EU;2012;odborný asistent;part-time;0;29;14;43
EU;2012;profesor;full-time;2;67;0;69
EU;2012;profesor;part-time;0;6;0;6
EU;2013;asistent;full-time;0;0;2;2
EU;2013;asistent;part-time;0;0;0;0
EU;2013;docent;full-time;0;84;0;84
EU;2013;docent;part-time;0;15;0;15
EU;2013;hosťujúci profesor;full-time;0;0;0;0
EU;2013;hosťujúci profesor;part-time;0;0;0;0
EU;2013;lektor;full-time;0;0;3;3
EU;2013;lektor;part-time;0;0;0;0
EU;2013;odborný asistent;full-time;0;336;53;389
EU;2013;odborný asistent;part-time;0;38;15;53
EU;2013;profesor;full-time;2;71;0;73
EU;2013;profesor;part-time;0;5;0;5
EU;2014;asistent;full-time;0;0;2;2
EU;2014;asistent;part-time;0;0;0;0
EU;2014;docent;full-time;0;99;0;99
EU;2014;docent;part-time;0;13;0;13
EU;2014;hosťujúci profesor;full-time;0;0;0;0
EU;2014;hosťujúci profesor;part-time;0;0;0;0
EU;2014;lektor;full-time;0;0;4;4
EU;2014;lektor;part-time;0;0;0;0
EU;2014;odborný asistent;full-time;0;340;49;389
EU;2014;odborný asistent;part-time;0;22;4;26
EU;2014;profesor;full-time;2;65;0;67
EU;2014;profesor;part-time;0;3;0;3
EU;2015;asistent;full-time;0;0;3;3
EU;2015;asistent;part-time;0;0;0;0
EU;2015;docent;full-time;0;100;0;100
EU;2015;docent;part-time;0;2;0;2
EU;2015;hosťujúci profesor;full-time;0;0;0;0
EU;2015;hosťujúci profesor;part-time;0;0;0;0
EU;2015;lektor;full-time;0;0;6;6
EU;2015;lektor;part-time;0;0;0;0
EU;2015;odborný asistent;full-time;0;319;38;357
EU;2015;odborný asistent;part-time;0;41;1;42
EU;2015;profesor;full-time;1;57;0;58
EU;2015;profesor;part-time;0;1;0;1
EU;2016;asistent;full-time;0;0;2;2
EU;2016;asistent;part-time;0;0;0;0
EU;2016;docent;full-time;0;101;0;101
EU;2016;docent;part-time;0;1;0;1
EU;2016;hosťujúci profesor;full-time;0;0;0;0
EU;2016;hosťujúci profesor;part-time;0;0;0;0
EU;2016;lektor;full-time;0;0;9;9
EU;2016;lektor;part-time;0;0;0;0
EU;2016;odborný asistent;full-time;0;310;26;336
EU;2016;odborný asistent;part-time;0;18;1;19
EU;2016;profesor;full-time;1;58;0;59
EU;2016;profesor;part-time;0;0;0;0
EU;2017;asistent;full-time;0;0;3;3
EU;2017;asistent;part-time;0;0;0;0
EU;2017;docent;full-time;0;100;0;100
EU;2017;docent;part-time;0;0;0;0
EU;2017;hosťujúci profesor;full-time;0;0;0;0
EU;2017;hosťujúci profesor;part-time;0;0;0;0
EU;2017;lektor;full-time;0;0;8;8
EU;2017;lektor;part-time;0;0;0;0
EU;2017;odborný asistent;full-time;0;306;17;323
EU;2017;odborný asistent;part-time;0;14;1;15
EU;2017;profesor;full-time;1;57;0;58
EU;2017;profesor;part-time;0;0;0;0
EU;2018;asistent;full-time;0;0;4;4
EU;2018;asistent;part-time;0;0;0;0
EU;2018;docent;full-time;0;101;0;101
EU;2018;docent;part-time;0;1;0;1
EU;2018;hosťujúci profesor;full-time;0;0;0;0
EU;2018;hosťujúci profesor;part-time;0;0;0;0
EU;2018;lektor;full-time;0;0;10;10
EU;2018;lektor;part-time;0;0;0;0
EU;2018;odborný asistent;full-time;0;287;16;303
EU;2018;odborný asistent;part-time;0;17;1;18
EU;2018;profesor;full-time;0;52;0;52
EU;2018;profesor;part-time;0;0;0;0
EU;2019;asistent;full-time;0;0;2;2
EU;2019;asistent;part-time;0;0;0;0
EU;2019;docent;full-time;0;100;0;100
EU;2019;docent;part-time;0;3;0;3
EU;2019;hosťujúci profesor;full-time;0;0;0;0
EU;2019;hosťujúci profesor;part-time;0;0;0;0
EU;2019;lektor;full-time;0;0;12;12
EU;2019;lektor;part-time;0;0;0;0
EU;2019;odborný asistent;full-time;0;285;12;297
EU;2019;odborný asistent;part-time;0;11;1;12
EU;2019;profesor;full-time;0;43;0;43
EU;2019;profesor;part-time;0;0;0;0
EU;2020;asistent;full-time;0;0;1;1
EU;2020;asistent;part-time;0;0;0;0
EU;2020;docent;full-time;0;103;0;103
EU;2020;docent;part-time;0;2;0;2
EU;2020;hosťujúci profesor;full-time;0;0;0;0
EU;2020;hosťujúci profesor;part-time;0;0;0;0
EU;2020;lektor;full-time;0;0;13;13
EU;2020;lektor;part-time;0;0;0;0
EU;2020;odborný asistent;full-time;0;270;12;282
EU;2020;odborný asistent;part-time;0;8;0;8
EU;2020;profesor;full-time;0;37;0;37
EU;2020;profesor;part-time;0;0;0;0
EU;2021;asistent;full-time;0;0;1;1
EU;2021;asistent;part-time;0;0;0;0
EU;2021;docent;full-time;0;114;7;121
EU;2021;docent;part-time;0;2;0;2
EU;2021;hosťujúci profesor;full-time;0;0;0;0
EU;2021;hosťujúci profesor;part-time;0;0;0;0
EU;2021;lektor;full-time;0;0;10;10
EU;2021;lektor;part-time;0;0;0;0
EU;2021;odborný asistent;full-time;0;237;11;248
EU;2021;odborný asistent;part-time;0;4;0;4
EU;2021;profesor;full-time;0;40;0;40
EU;2021;profesor;part-time;0;0;0;0
EU;2022;asistent;full-time;0;0;1;1
EU;2022;asistent;part-time;0;0;0;0
EU;2022;docent;full-time;0;124;0;124
EU;2022;docent;part-time;0;2;0;2
EU;2022;hosťujúci profesor;full-time;0;0;0;0
EU;2022;hosťujúci profesor;part-time;0;0;0;0
EU;2022;lektor;full-time;0;0;7;7
EU;2022;lektor;part-time;0;0;2;2
EU;2022;odborný asistent;full-time;0;193;53;246
EU;2022;odborný asistent;part-time;0;4;0;4
EU;2022;profesor;full-time;0;35;0;35
EU;2022;profesor;part-time;0;1;0;1
KU;2009;asistent;full-time;0;0;26;26
KU;2009;asistent;part-time;0;0;14;14
KU;2009;docent;full-time;1;71;2;74
KU;2009;docent;part-time;0;16;1;17
KU;2009;hosťujúci profesor;full-time;0;0;0;0
KU;2009;hosťujúci profesor;part-time;0;0;0;0
KU;2009;lektor;full-time;0;0;1;1
KU;2009;lektor;part-time;0;0;2;2
KU;2009;odborný asistent;full-time;0;182;27;209
KU;2009;odborný asistent;part-time;0;22;8;30
KU;2009;profesor;full-time;1;59;1;61
KU;2009;profesor;part-time;1;8;0;9
KU;2010;asistent;full-time;0;0;25;25
KU;2010;asistent;part-time;0;0;17;17
KU;2010;docent;full-time;1;73;2;76
KU;2010;docent;part-time;0;12;1;13
KU;2010;hosťujúci profesor;full-time;0;0;0;0
KU;2010;hosťujúci profesor;part-time;0;0;0;0
KU;2010;lektor;full-time;0;0;1;1
KU;2010;lektor;part-time;0;0;2;2
KU;2010;odborný asistent;full-time;0;165;14;179
KU;2010;odborný asistent;part-time;0;43;3;46
KU;2010;profesor;full-time;0;57;2;59
KU;2010;profesor;part-time;1;6;0;7
KU;2011;asistent;full-time;0;0;23;23
KU;2011;asistent;part-time;0;0;19;19
KU;2011;docent;full-time;2;78;3;83
KU;2011;docent;part-time;0;13;0;13
KU;2011;hosťujúci profesor;full-time;0;0;0;0
KU;2011;hosťujúci profesor;part-time;0;0;0;0
KU;2011;lektor;full-time;0;0;2;2
KU;2011;lektor;part-time;0;0;0;0
KU;2011;odborný asistent;full-time;0;191;10;201
KU;2011;odborný asistent;part-time;0;42;3;45
KU;2011;profesor;full-time;0;59;2;61
KU;2011;profesor;part-time;0;6;0;6
KU;2012;asistent;full-time;0;0;18;18
KU;2012;asistent;part-time;0;0;18;18
KU;2012;docent;full-time;0;82;3;85
KU;2012;docent;part-time;0;13;0;13
KU;2012;hosťujúci profesor;full-time;0;0;0;0
KU;2012;hosťujúci profesor;part-time;0;0;0;0
KU;2012;lektor;full-time;0;0;1;1
KU;2012;lektor;part-time;0;0;1;1
KU;2012;odborný asistent;full-time;0;179;8;187
KU;2012;odborný asistent;part-time;0;39;2;41
KU;2012;profesor;full-time;0;54;2;56
KU;2012;profesor;part-time;0;8;0;8
KU;2013;asistent;full-time;0;0;26;26
KU;2013;asistent;part-time;0;0;10;10
KU;2013;docent;full-time;2;79;2;83
KU;2013;docent;part-time;0;14;0;14
KU;2013;hosťujúci profesor;full-time;0;0;0;0
KU;2013;hosťujúci profesor;part-time;0;0;0;0
KU;2013;lektor;full-time;0;0;1;1
KU;2013;lektor;part-time;0;0;0;0
KU;2013;odborný asistent;full-time;0;180;7;187
KU;2013;odborný asistent;part-time;0;31;0;31
KU;2013;profesor;full-time;0;54;2;56
KU;2013;profesor;part-time;0;8;1;9
KU;2014;asistent;full-time;0;0;20;20
KU;2014;asistent;part-time;0;0;16;16
KU;2014;docent;full-time;2;88;3;93
KU;2014;docent;part-time;0;16;0;16
KU;2014;hosťujúci profesor;full-time;0;0;0;0
KU;2014;hosťujúci profesor;part-time;0;0;0;0
KU;2014;lektor;full-time;0;0;3;3
KU;2014;lektor;part-time;0;0;19;19
KU;2014;odborný asistent;full-time;0;180;7;187
KU;2014;odborný asistent;part-time;0;24;4;28
KU;2014;profesor;full-time;0;65;2;67
KU;2014;profesor;part-time;0;7;1;8
KU;2015;asistent;full-time;0;0;22;22
KU;2015;asistent;part-time;0;0;12;12
KU;2015;docent;full-time;1;87;2;90
KU;2015;docent;part-time;0;9;0;9
KU;2015;hosťujúci profesor;full-time;0;0;0;0
KU;2015;hosťujúci profesor;part-time;0;0;0;0
KU;2015;lektor;full-time;0;0;3;3
KU;2015;lektor;part-time;0;0;17;17
KU;2015;odborný asistent;full-time;0;177;3;180
KU;2015;odborný asistent;part-time;0;22;0;22
KU;2015;profesor;full-time;0;62;2;64
KU;2015;profesor;part-time;0;5;0;5
KU;2016;asistent;full-time;0;0;16;16
KU;2016;asistent;part-time;0;0;11;11
KU;2016;docent;full-time;1;88;1;90
KU;2016;docent;part-time;0;9;0;9
KU;2016;hosťujúci profesor;full-time;0;0;0;0
KU;2016;hosťujúci profesor;part-time;0;0;0;0
KU;2016;lektor;full-time;0;0;2;2
KU;2016;lektor;part-time;0;0;18;18
KU;2016;odborný asistent;full-time;0;165;2;167
KU;2016;odborný asistent;part-time;0;21;0;21
KU;2016;profesor;full-time;1;52;2;55
KU;2016;profesor;part-time;0;2;0;2
KU;2017;asistent;full-time;0;0;10;10
KU;2017;asistent;part-time;0;0;25;25
KU;2017;docent;full-time;1;87;2;90
KU;2017;docent;part-time;0;10;0;10
KU;2017;hosťujúci profesor;full-time;0;0;0;0
KU;2017;hosťujúci profesor;part-time;0;0;0;0
KU;2017;lektor;full-time;0;0;1;1
KU;2017;lektor;part-time;0;0;2;2
KU;2017;odborný asistent;full-time;0;155;1;156
KU;2017;odborný asistent;part-time;0;22;0;22
KU;2017;profesor;full-time;1;48;2;51
KU;2017;profesor;part-time;0;0;0;0
KU;2018;asistent;full-time;0;0;10;10
KU;2018;asistent;part-time;0;0;23;23
KU;2018;docent;full-time;1;82;1;84
KU;2018;docent;part-time;0;12;0;12
KU;2018;hosťujúci profesor;full-time;0;0;0;0
KU;2018;hosťujúci profesor;part-time;0;0;0;0
KU;2018;lektor;full-time;0;0;1;1
KU;2018;lektor;part-time;0;0;0;0
KU;2018;odborný asistent;full-time;0;150;1;151
KU;2018;odborný asistent;part-time;0;19;1;20
KU;2018;profesor;full-time;2;46;1;49
KU;2018;profesor;part-time;0;2;0;2
KU;2019;asistent;full-time;0;0;9;9
KU;2019;asistent;part-time;0;0;19;19
KU;2019;docent;full-time;1;81;1;83
KU;2019;docent;part-time;0;5;0;5
KU;2019;hosťujúci profesor;full-time;0;0;0;0
KU;2019;hosťujúci profesor;part-time;0;0;0;0
KU;2019;lektor;full-time;0;0;2;2
KU;2019;lektor;part-time;0;0;0;0
KU;2019;odborný asistent;full-time;0;143;2;145
KU;2019;odborný asistent;part-time;0;11;10;21
KU;2019;profesor;full-time;3;39;1;43
KU;2019;profesor;part-time;1;4;0;5
KU;2020;asistent;full-time;0;0;9;9
KU;2020;asistent;part-time;0;0;20;20
KU;2020;docent;full-time;1;80;1;82
KU;2020;docent;part-time;0;7;0;7
KU;2020;hosťujúci profesor;full-time;0;0;0;0
KU;2020;hosťujúci profesor;part-time;0;0;0;0
KU;2020;lektor;full-time;0;0;1;1
KU;2020;lektor;part-time;0;0;0;0
KU;2020;odborný asistent;full-time;0;148;2;150
KU;2020;odborný asistent;part-time;0;20;0;20
KU;2020;profesor;full-time;4;35;1;40
KU;2020;profesor;part-time;1;3;0;4
KU;2021;asistent;full-time;0;0;9;9
KU;2021;asistent;part-time;0;0;22;22
KU;2021;docent;full-time;1;75;4;80
KU;2021;docent;part-time;0;7;0;7
KU;2021;hosťujúci profesor;full-time;0;0;0;0
KU;2021;hosťujúci profesor;part-time;0;0;0;0
KU;2021;lektor;full-time;0;0;1;1
KU;2021;lektor;part-time;0;0;0;0
KU;2021;odborný asistent;full-time;0;132;2;134
KU;2021;odborný asistent;part-time;0;22;0;22
KU;2021;profesor;full-time;2;32;0;34
KU;2021;profesor;part-time;0;3;0;3
KU;2022;asistent;full-time;0;0;8;8
KU;2022;asistent;part-time;0;0;26;26
KU;2022;docent;full-time;1;116;1;118
KU;2022;docent;part-time;0;3;0;3
KU;2022;hosťujúci profesor;full-time;0;0;0;0
KU;2022;hosťujúci profesor;part-time;0;0;0;0
KU;2022;lektor;full-time;0;0;1;1
KU;2022;lektor;part-time;0;0;0;0
KU;2022;odborný asistent;full-time;0;81;2;83
KU;2022;odborný asistent;part-time;0;20;0;20
KU;2022;profesor;full-time;3;39;0;42
KU;2022;profesor;part-time;0;3;0;3
PU;2009;asistent;full-time;0;0;22;22
PU;2009;asistent;part-time;0;0;15;15
PU;2009;docent;full-time;1;91;0;92
PU;2009;docent;part-time;0;7;0;7
PU;2009;hosťujúci profesor;full-time;0;0;0;0
PU;2009;hosťujúci profesor;part-time;0;0;0;0
PU;2009;lektor;full-time;0;0;14;14
PU;2009;lektor;part-time;0;0;12;12
PU;2009;odborný asistent;full-time;0;247;98;345
PU;2009;odborný asistent;part-time;0;54;177;231
PU;2009;profesor;full-time;1;47;0;48
PU;2009;profesor;part-time;1;1;0;2
PU;2010;asistent;full-time;0;0;25;25
PU;2010;asistent;part-time;0;0;11;11
PU;2010;docent;full-time;1;99;0;100
PU;2010;docent;part-time;0;4;0;4
PU;2010;hosťujúci profesor;full-time;0;0;0;0
PU;2010;hosťujúci profesor;part-time;0;0;0;0
PU;2010;lektor;full-time;0;0;13;13
PU;2010;lektor;part-time;0;0;9;9
PU;2010;odborný asistent;full-time;0;280;62;342
PU;2010;odborný asistent;part-time;0;51;93;144
PU;2010;profesor;full-time;1;40;0;41
PU;2010;profesor;part-time;1;1;0;2
PU;2011;asistent;full-time;0;0;20;20
PU;2011;asistent;part-time;0;0;17;17
PU;2011;docent;full-time;1;116;0;117
PU;2011;docent;part-time;0;0;0;0
PU;2011;hosťujúci profesor;full-time;0;0;0;0
PU;2011;hosťujúci profesor;part-time;0;0;0;0
PU;2011;lektor;full-time;0;0;14;14
PU;2011;lektor;part-time;0;0;13;13
PU;2011;odborný asistent;full-time;0;305;28;333
PU;2011;odborný asistent;part-time;0;44;83;127
PU;2011;profesor;full-time;3;46;0;49
PU;2011;profesor;part-time;0;1;0;1
PU;2012;asistent;full-time;0;0;17;17
PU;2012;asistent;part-time;0;0;40;40
PU;2012;docent;full-time;0;120;0;120
PU;2012;docent;part-time;0;3;0;3
PU;2012;hosťujúci profesor;full-time;0;0;0;0
PU;2012;hosťujúci profesor;part-time;0;0;0;0
PU;2012;lektor;full-time;0;0;13;13
PU;2012;lektor;part-time;0;0;5;5
PU;2012;odborný asistent;full-time;0;286;36;322
PU;2012;odborný asistent;part-time;0;37;15;52
PU;2012;profesor;full-time;4;47;0;51
PU;2012;profesor;part-time;0;4;0;4
PU;2013;asistent;full-time;0;0;10;10
PU;2013;asistent;part-time;0;0;36;36
PU;2013;docent;full-time;0;126;0;126
PU;2013;docent;part-time;0;5;0;5
PU;2013;hosťujúci profesor;full-time;0;0;0;0
PU;2013;hosťujúci profesor;part-time;0;0;0;0
PU;2013;lektor;full-time;0;0;19;19
PU;2013;lektor;part-time;0;0;6;6
PU;2013;odborný asistent;full-time;0;275;11;286
PU;2013;odborný asistent;part-time;0;38;15;53
PU;2013;profesor;full-time;5;49;0;54
PU;2013;profesor;part-time;0;2;0;2
PU;2014;asistent;full-time;0;0;8;8
PU;2014;asistent;part-time;0;0;28;28
PU;2014;docent;full-time;0;141;0;141
PU;2014;docent;part-time;0;2;0;2
PU;2014;hosťujúci profesor;full-time;0;0;0;0
PU;2014;hosťujúci profesor;part-time;0;0;0;0
PU;2014;lektor;full-time;0;0;30;30
PU;2014;lektor;part-time;0;0;0;0
PU;2014;odborný asistent;full-time;0;278;8;286
PU;2014;odborný asistent;part-time;0;36;16;52
PU;2014;profesor;full-time;3;48;0;51
PU;2014;profesor;part-time;0;1;0;1
PU;2015;asistent;full-time;0;0;7;7
PU;2015;asistent;part-time;0;0;21;21
PU;2015;docent;full-time;0;137;0;137
PU;2015;docent;part-time;0;1;0;1
PU;2015;hosťujúci profesor;full-time;0;0;0;0
PU;2015;hosťujúci profesor;part-time;0;0;0;0
PU;2015;lektor;full-time;0;0;28;28
PU;2015;lektor;part-time;0;0;0;0
PU;2015;odborný asistent;full-time;0;274;13;287
PU;2015;odborný asistent;part-time;0;29;14;43
PU;2015;profesor;full-time;3;49;0;52
PU;2015;profesor;part-time;0;3;0;3
PU;2016;asistent;full-time;0;0;7;7
PU;2016;asistent;part-time;0;0;12;12
PU;2016;docent;full-time;0;132;0;132
PU;2016;docent;part-time;0;4;0;4
PU;2016;hosťujúci profesor;full-time;0;0;0;0
